# REFUSED ('double', 64, 32, 512): relsd 0.1530 > 0.10
# REFUSED ('double', 64, 64, 128): relsd 0.2138 > 0.10
# REFUSED ('double', 64, 64, 512): relsd 0.1078 > 0.10
# REFUSED ('double', 128, 32, 128): relsd 0.2104 > 0.10
# REFUSED ('double', 512, 16, 32): relsd 0.2658 > 0.10
# REFUSED ('cfloat', 256, 32, 128): relsd 0.4179 > 0.10
# REFUSED ('cfloat', 256, 32, 256): relsd 0.1064 > 0.10
# REFUSED ('cdouble', 64, 16, 256): relsd 0.2576 > 0.10
# REFUSED ('cdouble', 64, 128, 512): relsd 0.1579 > 0.10
# REFUSED ('cdouble', 128, 32, 512): relsd 0.1803 > 0.10
# REFUSED ('cdouble', 512, 32, 128): relsd 0.1066 > 0.10
# REFUSED ('cfloat', 128, 32, 1024): relsd 0.1122 > 0.10
# REFUSED ('cfloat', 128, 32, 2048): relsd 0.1030 > 0.10
# REFUSED ('cfloat', 128, 64, 1024): relsd 0.1420 > 0.10
# 135 cells paired across all four sweeps
type,n,nrhs,batch,nat_p1,ven_p1,r_p1,nat_p2,ven_p2,r_p2,QUOTED,spread_nat,spread_ven
float,1024,32,256,3.5438,5.1950,1.4659,3.5401,5.1908,1.4663,1.4659,1.0010,1.0008
float,1024,32,512,5.6875,7.5834,1.3333,5.6909,7.5946,1.3345,1.3333,1.0006,1.0015
float,1024,64,128,3.0160,6.5881,2.1844,3.0198,6.5680,2.1750,2.1750,1.0013,1.0031
float,1024,64,256,4.1418,7.9277,1.9141,4.1426,7.9538,1.9200,1.9141,1.0002,1.0033
float,1024,64,512,7.2559,12.8044,1.7647,7.2498,12.8722,1.7755,1.7647,1.0008,1.0053
float,1024,128,128,4.2853,11.8640,2.7685,4.2406,11.8842,2.8025,2.7685,1.0105,1.0017
float,1024,128,256,7.2981,14.9796,2.0525,7.3033,14.9636,2.0489,2.0489,1.0007,1.0011
float,1024,128,512,14.4313,26.6987,1.8501,14.4306,26.7080,1.8508,1.8501,1.0000,1.0003
# cross-pass median spread 1.0022  worst 1.1208  above 1.10: 5 of 270

== CANDIDATE CLAUSES, GATE-C SCORED (quoted = the WORSE pass) ==
clause,cells,geomean,min,losses,sub1.15,GATE-C,worst_cell
float nrhs>=32,45,2.1469,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
float nrhs==32,15,1.2298,0.9069,1,4,FAIL,float n=64 nrhs=32 b=4096 = 0.9069
