shape,route,beta,pad,m,n,k,batch,iters,ms,sd_ms,rsd_pct,gflops
outer,native,1,8,128,1024,256,512,128,2.34651,0.0851833,3.63,14642.9
outer,native,1,16,128,1024,256,512,129,2.3358,0.109688,4.7,14710.0
outer,native,1,32,128,1024,256,512,134,2.24305,0.0854474,3.81,15318.3
outer,native,1,64,128,1024,256,512,130,2.3144,0.0914947,3.95,14846.0
outer,native,1,128,128,1024,256,512,118,2.55779,0.0866481,3.39,13433.4
outer,native,1,384,128,1024,256,512,110,2.74668,0.106233,3.87,12509.5
outer,vendor,1,0,128,1024,256,512,239,1.261,0.038593,3.06,27247.9
outer,vendor,1,1,128,1024,256,512,237,1.269,0.0430171,3.39,27076.3
outer,vendor,1,2,128,1024,256,512,236,1.27274,0.0423337,3.33,26996.7
outer,vendor,1,3,128,1024,256,512,234,1.28278,0.0394748,3.08,26785.4
outer,vendor,1,4,128,1024,256,512,234,1.28374,0.0394797,3.08,26765.4
outer,vendor,1,8,128,1024,256,512,232,1.29503,0.0407393,3.15,26532.0
outer,vendor,1,16,128,1024,256,512,224,1.33968,0.0421662,3.15,25647.7
outer,vendor,1,32,128,1024,256,512,236,1.27247,0.0394262,3.1,27002.3
outer,vendor,1,64,128,1024,256,512,230,1.30568,0.0397698,3.05,26315.6
outer,vendor,1,128,128,1024,256,512,236,1.27392,0.0392102,3.08,26971.6
outer,vendor,1,384,128,1024,256,512,228,1.3191,0.0399062,3.03,26047.9
