type,tag,m,n,k,batch,beta,pad,arm,reps,median_ms,min_ms,max_ms,rel_spread,worst_within_run_rsd
cdouble,S_128,128,128,128,512,0,384,vendor,2,7.06647,7.06647,7.09020,0.0034,0.0282
cdouble,S_128,128,128,128,512,0,384,wide,2,6.40115,6.40115,6.40235,0.0002,0.0321
cdouble,S_128,128,128,128,512,1,0,auto,2,22.16300,22.16300,22.28020,0.0053,0.0121
cdouble,S_128,128,128,128,512,1,0,vendor,2,7.12340,7.12340,7.13753,0.0020,0.0251
cdouble,S_128,128,128,128,512,1,0,wide,2,6.39202,6.39202,6.47195,0.0125,0.0336
cdouble,S_128,128,128,128,512,1,384,auto,2,22.10470,22.10470,22.13510,0.0014,0.0126
cdouble,S_128,128,128,128,512,1,384,vendor,2,7.12694,7.12694,7.12768,0.0001,0.0240
cdouble,S_128,128,128,128,512,1,384,wide,2,6.38845,6.38845,6.39643,0.0012,0.0292
cdouble,S_256,256,256,256,256,0,0,auto,2,25.25150,25.25150,25.31220,0.0024,0.0089
cdouble,S_256,256,256,256,256,0,0,vendor,2,28.16730,28.16730,28.17140,0.0001,0.0061
cdouble,S_256,256,256,256,256,0,0,wide,2,25.26340,25.26340,25.30940,0.0018,0.0090
cdouble,S_256,256,256,256,256,0,384,auto,2,25.21140,25.21140,25.23730,0.0010,0.0091
cdouble,S_256,256,256,256,256,0,384,vendor,2,28.05430,28.05430,28.09460,0.0014,0.0068
cdouble,S_256,256,256,256,256,0,384,wide,2,25.26150,25.26150,25.28010,0.0007,0.0078
cdouble,S_256,256,256,256,256,1,0,auto,2,25.24340,25.24340,25.27930,0.0014,0.0082
cdouble,S_256,256,256,256,256,1,0,vendor,2,28.18440,28.18440,28.25880,0.0026,0.0063
cdouble,S_256,256,256,256,256,1,0,wide,2,25.24730,25.24730,25.33780,0.0036,0.0082
cdouble,S_256,256,256,256,256,1,384,auto,2,25.14020,25.14020,25.26000,0.0048,0.0089
cdouble,S_256,256,256,256,256,1,384,vendor,2,28.13060,28.13060,28.14980,0.0007,0.0064
cdouble,S_256,256,256,256,256,1,384,wide,2,25.11120,25.11120,25.19710,0.0034,0.0081
cdouble,S_512,512,512,512,128,0,0,auto,2,100.29900,100.29900,100.53500,0.0024,0.0007
cdouble,S_512,512,512,512,128,0,0,vendor,2,112.04800,112.04800,112.26400,0.0019,0.0021
cdouble,S_512,512,512,512,128,0,0,wide,2,100.33100,100.33100,100.47600,0.0014,0.0002
cdouble,S_512,512,512,512,128,0,384,auto,2,99.94730,99.94730,99.96160,0.0001,0.0002
cdouble,S_512,512,512,512,128,0,384,vendor,2,111.70800,111.70800,111.74100,0.0003,0.0019
cdouble,S_512,512,512,512,128,0,384,wide,2,99.97160,99.97160,100.31500,0.0034,0.0003
cdouble,S_512,512,512,512,128,1,0,auto,2,100.33600,100.33600,100.51100,0.0017,0.0004
cdouble,S_512,512,512,512,128,1,0,vendor,2,112.25600,112.25600,115.59400,0.0297,0.0261
cdouble,S_512,512,512,512,128,1,0,wide,2,100.36900,100.36900,105.30600,0.0492,0.0317
cdouble,S_512,512,512,512,128,1,384,auto,2,99.84660,99.84660,100.00800,0.0016,0.0008
cdouble,S_512,512,512,512,128,1,384,vendor,2,112.02200,112.02200,112.13000,0.0010,0.0020
cdouble,S_512,512,512,512,128,1,384,wide,2,99.78010,99.78010,100.29300,0.0051,0.0008
cfloat,P_480k32,480,480,32,256,0,0,auto,2,2.53675,2.53675,2.61007,0.0289,0.0666
cfloat,P_480k32,480,480,32,256,0,0,vendor,2,0.63118,0.63118,0.63229,0.0018,0.0135
cfloat,P_480k32,480,480,32,256,0,0,wide,2,0.63542,0.63542,0.63552,0.0002,0.0137
cfloat,P_480k32,480,480,32,256,0,384,auto,2,2.49770,2.49770,2.52849,0.0123,0.0657
cfloat,P_480k32,480,480,32,256,0,384,vendor,2,0.65725,0.65725,0.65767,0.0006,0.0159
cfloat,P_480k32,480,480,32,256,0,384,wide,2,0.65964,0.65964,0.66244,0.0043,0.0152
cfloat,P_480k32,480,480,32,256,1,0,auto,2,2.54751,2.54751,2.56075,0.0052,0.0580
cfloat,P_480k32,480,480,32,256,1,0,vendor,2,1.11479,1.11479,1.11619,0.0013,0.0373
cfloat,P_480k32,480,480,32,256,1,0,wide,2,1.12417,1.12417,1.12472,0.0005,0.0368
cfloat,P_480k32,480,480,32,256,1,384,auto,2,2.45727,2.45727,2.49244,0.0143,0.0595
cfloat,P_480k32,480,480,32,256,1,384,vendor,2,1.14328,1.14328,1.14550,0.0019,0.0421
cfloat,P_480k32,480,480,32,256,1,384,wide,2,1.13975,1.13975,1.14179,0.0018,0.0378
cfloat,P_992k32,992,992,32,128,0,0,auto,2,5.31914,5.31914,5.43438,0.0217,0.0539
cfloat,P_992k32,992,992,32,128,0,0,vendor,2,1.25001,1.25001,1.25135,0.0011,0.0364
cfloat,P_992k32,992,992,32,128,0,0,wide,2,1.24803,1.24803,1.25411,0.0049,0.0358
cfloat,P_992k32,992,992,32,128,0,384,auto,2,5.20829,5.20829,5.23249,0.0046,0.0396
cfloat,P_992k32,992,992,32,128,0,384,vendor,2,1.29536,1.29536,1.30133,0.0046,0.0392
cfloat,P_992k32,992,992,32,128,0,384,wide,2,1.28605,1.28605,1.29139,0.0042,0.0349
cfloat,P_992k32,992,992,32,128,1,0,auto,2,5.27999,5.27999,5.30106,0.0040,0.0401
cfloat,P_992k32,992,992,32,128,1,0,vendor,2,2.29776,2.29776,2.30242,0.0020,0.0347
cfloat,P_992k32,992,992,32,128,1,0,wide,2,2.30037,2.30037,2.31006,0.0042,0.0347
cfloat,P_992k32,992,992,32,128,1,384,auto,2,5.21420,5.21420,5.21976,0.0011,0.0374
cfloat,P_992k32,992,992,32,128,1,384,vendor,2,2.33537,2.33537,2.34444,0.0039,0.0353
cfloat,P_992k32,992,992,32,128,1,384,wide,2,2.34520,2.34520,2.35001,0.0021,0.0350
cfloat,P_k136,1024,1024,136,128,0,0,auto,2,20.51740,20.51740,20.71480,0.0096,0.0360
cfloat,P_k136,1024,1024,136,128,0,0,vendor,2,3.16899,3.16899,3.17050,0.0005,0.0450
cfloat,P_k136,1024,1024,136,128,0,0,wide,2,3.57454,3.57454,3.61114,0.0102,0.0420
cfloat,P_k136,1024,1024,136,128,0,384,auto,2,20.09090,20.09090,20.15550,0.0032,0.0148
cfloat,P_k136,1024,1024,136,128,0,384,vendor,2,3.09937,3.09937,3.10061,0.0004,0.0440
cfloat,P_k136,1024,1024,136,128,0,384,wide,2,3.49644,3.49644,3.51057,0.0040,0.0686
cfloat,P_k136,1024,1024,136,128,1,0,auto,2,20.34030,20.34030,20.52850,0.0093,0.0284
cfloat,P_k136,1024,1024,136,128,1,0,vendor,2,3.55071,3.55071,3.55668,0.0017,0.0295
cfloat,P_k136,1024,1024,136,128,1,0,wide,2,3.70571,3.70571,3.71259,0.0019,0.0394
