typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
double,lobpcg_ta0,0,1024,16,50,512,0,0,1,5.74398,2.06146,0.3588905253848377,0.0058560437748003845,0.0003883805305728781,0.0058560437748003845,222439.0,222439.0,True,90.9113,253.313,0.09018978174603175,0.2513025793650793,522.192896,False
double,lobpcg_ta0,0,2048,16,12,8,0,0,1,0.0621824,0.0372809,0.5995410276862907,0.002820363961506793,0.002820363961506793,0.0008458915959646896,107579.0,107579.0,True,102.232,170.517,0.10142063492063493,0.16916369047619048,6.357024,True
double,lobpcg_ta0,0,2048,16,12,32,0,0,1,0.198173,0.109727,0.5536929854218284,0.006441960501973078,0.001023272595156757,0.006441960501973078,107579.0,107579.0,True,128.312,231.739,0.1272936507936508,0.22989980158730158,25.428096,True
double,lobpcg_ta0,0,2048,16,12,128,0,0,1,0.744748,0.382289,0.513313228098632,0.0025196173575488703,0.0013773786569416771,0.0025196173575488703,107579.0,107579.0,True,136.573,266.062,0.13548908730158732,0.26395039682539684,101.712384,False
double,lobpcg_ta0,0,2048,16,12,512,0,0,1,2.99102,1.54228,0.515636806173145,0.008004447960162874,0.0030901765952751907,0.008004447960162874,107579.0,107579.0,True,136.024,263.798,0.13494444444444445,0.26170436507936506,406.849536,False
double,lobpcg_ta0,0,2048,16,25,8,0,0,1,0.108761,0.0727349,0.668759022075928,0.010417704875828653,0.010417704875828653,0.0012021285517681334,223176.0,223176.0,True,89.7829,134.253,0.0890703373015873,0.1331875,9.764896,True
double,lobpcg_ta0,0,2048,16,25,32,0,0,1,0.378684,0.195754,0.5169323235204022,0.004157754119966897,0.0007689577589758216,0.004157754119966897,223176.0,223176.0,True,103.145,199.534,0.10232638888888888,0.1979503968253968,39.059584,True
double,lobpcg_ta0,0,2048,16,25,128,0,0,1,1.48855,0.810573,0.544538644990091,0.008059386651439321,0.008059386651439321,0.0020558666523558026,223176.0,223176.0,True,104.96,192.75,0.10412698412698412,0.19122023809523808,156.238336,False
double,lobpcg_ta0,0,2048,16,25,512,0,0,1,5.93552,3.26329,0.5497900773647465,0.0029230561794998298,0.0011885967868021671,0.0029230561794998298,223176.0,223176.0,True,105.29,191.51,0.10445436507936509,0.18999007936507936,624.953344,False
double,lobpcg_ta0,0,2048,16,50,8,0,0,1,0.194325,0.138246,0.7114164415283675,0.0010442327445278705,0.0009616415798276084,0.0010442327445278705,446876.0,446876.0,True,83.9751,118.04,0.08330863095238095,0.11710317460317461,16.318496,True
double,lobpcg_ta0,0,2048,16,50,32,0,0,1,0.726565,0.380817,0.5241334223366113,0.006496762161678583,0.006496762161678583,0.002673856471743646,446876.0,446876.0,True,89.8392,171.405,0.08912619047619048,0.17004464285714285,65.273984,True
double,lobpcg_ta0,0,2048,16,50,128,0,0,1,2.89725,1.5867,0.5476572611959617,0.004363124724270498,0.0004999085339546122,0.004363124724270498,446876.0,446876.0,True,90.1184,164.553,0.0894031746031746,0.1632470238095238,261.095936,False
double,lobpcg_ta0,0,2048,16,50,512,0,0,1,11.5989,6.38805,0.5507461914491891,0.0043236198840021604,0.004282319875160575,0.0043236198840021604,446876.0,446876.0,True,90.0416,163.49,0.08932698412698413,0.16219246031746032,1044.383744,False
double,lobpcg_ta0,0,4096,16,12,8,0,0,1,0.110589,0.0885243,0.8004801562542386,0.002195055566105128,0.002195055566105128,0.0010997217713102504,212622.0,212622.0,True,114.966,143.622,0.11405357142857142,0.14248214285714286,12.714016,True
double,lobpcg_ta0,0,4096,16,12,32,0,0,1,0.392235,0.280853,0.7160324805282547,0.016167629099901843,0.016167629099901843,0.0030814803473703323,212622.0,212622.0,True,129.657,181.077,0.1286279761904762,0.17963988095238095,50.856064,True
double,lobpcg_ta0,0,4096,16,12,128,0,0,1,1.49005,1.1354,0.7619878527566188,0.0031925929187951387,0.0006324982383141505,0.0031925929187951387,212622.0,212622.0,True,136.522,179.165,0.13543849206349207,0.17774305555555556,203.424256,False
double,lobpcg_ta0,0,4096,16,12,512,0,0,1,5.98147,4.53763,0.7586145211795763,0.0012690986263754428,0.00018760438487528986,0.0012690986263754428,212622.0,212622.0,True,136.036,179.322,0.13495634920634922,0.17789880952380951,813.697024,False
double,lobpcg_ta0,0,4096,16,25,8,0,0,1,0.204173,0.164398,0.8051897165638943,0.015741160682362507,0.015741160682362507,0.0055886811275076345,442860.0,442860.0,True,95.6532,118.796,0.09489404761904761,0.11785317460317461,19.52976,True
double,lobpcg_ta0,0,4096,16,25,32,0,0,1,0.745728,0.587768,0.7881801407483694,0.0022543742490559564,0.0022543742490559564,0.001695507411087368,442860.0,442860.0,True,104.755,132.908,0.1039236111111111,0.13185317460317458,78.11904,False
double,lobpcg_ta0,0,4096,16,25,128,0,0,1,2.99081,2.35793,0.7883917734660509,0.00811883737181566,0.00811883737181566,0.0044290967077054875,442860.0,442860.0,True,104.479,132.521,0.10364980158730158,0.131469246031746,312.47616,False
double,lobpcg_ta0,0,4096,16,25,512,0,0,1,12.0878,9.39779,0.7774607455450951,0.0008735958134838083,0.0004188653022055295,0.0008735958134838083,442860.0,442860.0,True,103.402,133.0,0.1025813492063492,0.13194444444444445,1249.90464,False
double,lobpcg_ta0,0,4096,16,50,8,0,0,1,0.376414,0.289298,0.7685633371766193,0.006639019802664087,0.006639019802664087,0.0031163782673921006,887381.0,887381.0,True,86.705,112.814,0.08601686507936508,0.11191865079365079,32.63696,True
double,lobpcg_ta0,0,4096,16,50,32,0,0,1,1.4457,1.16249,0.8041018191879367,0.0030227270772221694,0.0009095040464826729,0.0030227270772221694,887381.0,887381.0,True,90.3005,112.3,0.08958382936507936,0.11140873015873015,130.54784,False
double,lobpcg_ta0,0,4096,16,50,128,0,0,1,5.81497,4.65459,0.8004495294042789,0.001212074532880447,0.0004017045659736852,0.001212074532880447,887381.0,887381.0,True,89.8012,112.188,0.08908849206349206,0.11129761904761905,522.19136,False
double,lobpcg_ta0,0,4096,16,50,512,0,0,1,23.2137,18.5755,0.800195574165256,0.0005634303248903124,0.00017116573402775086,0.0005634303248903124,887381.0,887381.0,True,89.9797,112.447,0.08926557539682539,0.1115545634920635,2088.76544,False
double,lobpcg_ta1,1,1024,16,12,8,0,0,1,0.0497737,0.0419826,0.8434695431523074,0.003840502112561453,0.003840502112561453,0.0008948350030727016,53883.0,53883.0,True,63.8596,75.7106,0.06335277777777777,0.07510972222222222,3.178528,True
double,lobpcg_ta1,1,1024,16,12,32,0,0,1,0.141932,0.144562,1.018530000281825,0.0021106797621396165,0.0021106797621396165,0.0011764087381192843,53883.0,53883.0,True,89.5791,87.9493,0.08886815476190475,0.08725128968253967,12.714112,True
double,lobpcg_ta1,1,1024,16,12,128,0,0,1,0.487458,0.514804,1.0560991921355276,0.0027309840027243374,0.0027309840027243374,0.0004932110084614726,53883.0,53883.0,True,104.33,98.7879,0.10350198412698412,0.09800386904761904,50.856448,True
double,lobpcg_ta1,1,1024,16,12,512,0,0,1,1.85331,2.26786,1.2236808736800644,0.004267163757903926,0.00083331984395487,0.004267163757903926,53883.0,53883.0,True,109.763,89.6995,0.10889186507936509,0.0889875992063492,203.425792,False
double,lobpcg_ta1,1,1024,16,25,8,0,0,1,0.0778076,0.0835446,1.073733157172307,0.0026991964795212804,0.0026991964795212804,0.0008971938341915575,111275.0,111275.0,True,62.7504,58.4414,0.062252380952380955,0.057977579365079364,4.882464,True
double,lobpcg_ta1,1,1024,16,25,32,0,0,1,0.257097,0.251802,0.9794046604977888,0.0016687009183304353,0.0016687009183304353,0.0006423102278774592,111275.0,111275.0,True,75.963,77.5603,0.07536011904761904,0.07694474206349206,19.529856,True
double,lobpcg_ta1,1,1024,16,25,128,0,0,1,0.97621,1.04812,1.0736624291904404,0.0013434434988360113,0.0003030290613699921,0.0013434434988360113,111275.0,111275.0,True,80.0232,74.5327,0.07938809523809524,0.07394117063492064,78.119424,False
double,lobpcg_ta1,1,1024,16,25,512,0,0,1,3.95433,4.38411,1.108685921508827,0.004553033568956984,0.0004285909370234654,0.004553033568956984,111275.0,111275.0,True,79.0216,71.275,0.07839444444444445,0.07070932539682541,312.477696,False
double,lobpcg_ta1,1,1024,16,50,8,0,0,1,0.138499,0.140592,1.0151120224694763,0.0074016418891111125,0.0074016418891111125,0.002283935074541937,222439.0,222439.0,True,58.912,58.035,0.058444444444444445,0.05757440476190476,8.159264,True
double,lobpcg_ta1,1,1024,16,50,32,0,0,1,0.487817,0.466421,0.9561392899386449,0.000742826759515545,0.0007107357882156629,0.000742826759515545,222439.0,222439.0,True,66.9043,69.9734,0.0663733134920635,0.06941805555555555,32.637056,True
double,lobpcg_ta1,1,1024,16,50,128,0,0,1,1.92306,2.30045,1.1962445269518371,0.0011640505118563759,0.0006975497384376982,0.0011640505118563759,222439.0,222439.0,True,67.8856,56.7491,0.06734682539682539,0.05629871031746032,130.548224,False
double,lobpcg_ta1,1,1024,16,50,512,0,0,1,7.75888,11.3771,1.466332769678098,0.004548250432887115,0.00037382586146454124,0.004548250432887115,222439.0,222439.0,True,67.3027,45.8985,0.06676855158730159,0.04553422619047619,522.192896,False
double,lobpcg_ta1,1,2048,16,12,8,0,0,1,0.0687109,0.0705259,1.026415022943958,0.0007526666074814913,0.0007526666074814913,0.0005618815215403135,107579.0,107579.0,True,92.5185,90.1375,0.09178422619047619,0.08942212301587302,6.357024,True
double,lobpcg_ta1,1,2048,16,12,32,0,0,1,0.225639,0.264182,1.170817101653526,0.001439897494908813,0.0011293747977964802,0.001439897494908813,107579.0,107579.0,True,112.694,96.2522,0.11179960317460318,0.09548829365079366,25.428096,True
double,lobpcg_ta1,1,2048,16,12,128,0,0,1,0.852829,1.0759,1.2615659176693101,0.00615715215168696,0.00023356968395774535,0.00615715215168696,107579.0,107579.0,True,119.265,94.5366,0.11831845238095239,0.09378630952380954,101.712384,False
double,lobpcg_ta1,1,2048,16,12,512,0,0,1,3.56069,4.23965,1.190682143067776,0.0018046206644416402,0.000640176482648026,0.0018046206644416402,107579.0,107579.0,True,114.262,95.963,0.11335515873015874,0.09520138888888888,406.849536,False
double,lobpcg_ta1,1,2048,16,25,8,0,0,1,0.124131,0.129844,1.0460239585599083,0.00210500292658883,0.0013142567126664573,0.00210500292658883,223176.0,223176.0,True,78.666,75.205,0.07804166666666666,0.07460813492063492,9.764896,True
double,lobpcg_ta1,1,2048,16,25,32,0,0,1,0.439789,0.48804,1.1097139764750823,0.00044199604810488667,0.00044199604810488667,0.00044027538726333914,223176.0,223176.0,True,88.8144,80.0335,0.08810952380952382,0.0793983134920635,39.059584,True
double,lobpcg_ta1,1,2048,16,25,128,0,0,1,1.75536,2.22706,1.268719806763285,0.0029014305856151163,0.0015624430316288397,0.0029014305856151163,223176.0,223176.0,True,89.0066,70.1545,0.08830019841269841,0.06959771825396825,156.238336,False
double,lobpcg_ta1,1,2048,16,25,512,0,0,1,7.17109,8.67688,1.2099806305596499,0.0015558242133116972,0.0002746249175508883,0.0015558242133116972,223176.0,223176.0,True,87.1491,72.0251,0.08645744047619049,0.07145347222222222,624.953344,False
double,lobpcg_ta1,1,2048,16,50,8,0,0,1,0.225775,0.241807,1.0710087476469936,0.0013701795233388612,0.0007209124128003543,0.0013701795233388612,446876.0,446876.0,True,72.2777,67.4855,0.07170406746031746,0.06694990079365079,16.318496,True
double,lobpcg_ta1,1,2048,16,50,32,0,0,1,0.850238,0.949183,1.1163732978295489,0.0003614139739123014,0.00021304387712616938,0.0003614139739123014,446876.0,446876.0,True,76.7715,68.7686,0.07616220238095238,0.06822281746031747,65.273984,True
double,lobpcg_ta1,1,2048,16,50,128,0,0,1,3.52425,5.98372,1.6978704688940909,0.0028088045563629312,0.0003963055969355182,0.0028088045563629312,446876.0,446876.0,True,74.0855,43.6344,0.07349751984126984,0.04328809523809524,261.095936,False
double,lobpcg_ta1,1,2048,16,50,512,0,0,1,14.0584,21.5719,1.5344491549536219,0.00373533624761843,0.00015799095202868036,0.00373533624761843,446876.0,446876.0,True,74.2888,48.4142,0.07369920634920635,0.04802996031746032,1044.383744,False
double,lobpcg_ta1,1,4096,16,12,8,0,0,1,0.117761,0.111482,0.9466801402841347,0.001507086386834351,0.001507086386834351,0.0008253736029134748,212622.0,212622.0,True,107.964,114.046,0.10710714285714286,0.11314087301587303,12.714016,True
double,lobpcg_ta1,1,4096,16,12,32,0,0,1,0.426503,0.470598,1.1033873149778548,0.008691779424763717,0.008691779424763717,0.0003834759178747041,212622.0,212622.0,True,119.24,108.067,0.11829365079365078,0.10720932539682539,50.856064,True
double,lobpcg_ta1,1,4096,16,12,128,0,0,1,1.7388,2.12544,1.2223602484472051,0.009655682079595124,0.009655682079595124,0.003778351776573321,212622.0,212622.0,True,116.991,95.709,0.1160625,0.09494940476190476,203.424256,False
double,lobpcg_ta1,1,4096,16,12,512,0,0,1,7.09822,8.42138,1.1864072964771448,0.0008698811833689966,0.0005777392078577445,0.0008698811833689966,212622.0,212622.0,True,114.634,96.6228,0.11372420634920635,0.09585595238095238,813.697024,False
