typ,tag,m,nnzrow,nrhs,batch,transB,beta,pattern,r1,r2,worst,best,spread,relsd1,relsd2,quiet,admitted,tv_us_mean,tn_us_mean,fp_mb,l2res
cfloat,sbM,1024,16,12,8,0,0,1,0.5588791385272938,0.6307289204239915,0.6307289204239915,0.5588791385272938,1.1285605007301394,0.01792959264958523,0.0013545822340759561,True,True,29.483099999999997,17.4729,3.178528,True
cfloat,sbM,1024,16,12,16,0,0,1,0.7197060641509626,0.7174765089739282,0.7197060641509626,0.7174765089739282,1.0031074957147,0.001106289941100446,0.004363019067688768,True,True,39.221500000000006,28.18415,6.357056,True
cfloat,sbM,1024,16,12,32,0,0,1,0.7259175989148544,0.7354685919911955,0.7354685919911955,0.7259175989148544,1.0131571311821321,0.002737196344229716,0.0005612227846715433,True,True,69.5802,50.840999999999994,12.714112,True
cfloat,sbM,1024,16,12,64,0,0,1,0.5865626632828245,0.5988697109721844,0.5988697109721844,0.5865626632828245,1.020981641791656,0.009216242442337836,0.0029887905069172064,True,True,133.20700000000002,78.94924999999999,25.428224,True
cfloat,sbM,1024,16,12,128,0,0,1,0.5430464346356327,0.5368356081427307,0.5430464346356327,0.5368356081427307,1.0115693266219605,0.010066818483591635,0.004177263885574622,True,True,257.779,139.186,50.856448,True
double,sbM,1024,16,12,1,0,0,1,0.5950041349695142,0.5907644046685426,0.5950041349695142,0.5907644046685426,1.0071766854391817,0.0012208690113570406,0.0012369229034357974,True,True,19.488699999999998,11.554499999999999,0.397316,True
double,sbM,1024,16,12,2,0,0,1,0.5745724643391914,0.5682826308007447,0.5745724643391914,0.5682826308007447,1.0110681432047006,0.036925979194577976,0.005648637098239944,False,True,20.32985,11.616950000000001,0.794632,True
double,sbM,1024,16,12,4,0,0,1,0.46767024060848905,0.47250351936787616,0.47250351936787616,0.46767024060848905,1.0103348007628163,0.0012344286256490596,0.0009597869613967644,True,True,26.451950000000004,12.43465,1.589264,True
double,sbM,1024,16,12,8,0,0,1,0.4134560259123345,0.4076984001267226,0.4134560259123345,0.4076984001267226,1.0141222673030414,0.008694407524792967,0.0009850480482813998,True,True,37.86435,15.546199999999999,3.178528,True
double,sbM,1024,16,12,16,0,0,1,0.4471986383048118,0.43616036168532285,0.4471986383048118,0.43616036168532285,1.02530783993492,0.0044531135867146385,0.0019277920009990947,True,True,58.8075,25.974400000000003,6.357056,True
double,sbM,1024,16,12,32,0,0,1,0.4868713730779094,0.48395140421645483,0.4868713730779094,0.48395140421645483,1.0060335993159937,0.03909278272184179,0.014460955932719385,False,True,105.2005,51.065650000000005,12.714112,True
double,sbM,1024,16,12,64,0,0,1,0.4118119937166969,0.40823097586482665,0.4118119937166969,0.40823097586482665,1.008772038535988,0.0015470991057586676,0.0014945916295855805,True,True,194.935,79.9273,25.428224,True
double,sbM,1024,16,12,128,0,0,1,0.35618400523964455,0.357090591731878,0.357090591731878,0.35618400523964455,1.0025452756971036,0.004242797984781211,0.004108930367721024,True,True,375.7135,133.99349999999998,50.856448,True
float,sbM,1024,16,12,1,0,0,1,0.9915426137324063,0.982103298210892,0.9915426137324063,0.982103298210892,1.0096113265668794,0.0018172280508006627,0.0065486860008771245,True,True,17.7666,17.5324,0.233476,True
float,sbM,1024,16,12,2,0,0,1,0.9714653843250994,0.9811113348316564,0.9811113348316564,0.9714653843250994,1.0099292786569622,0.0020644549149837726,0.0062394087972964885,True,True,18.46275,18.02455,0.466952,True
float,sbM,1024,16,12,4,0,0,1,0.955236976023227,0.8546068476977567,0.955236976023227,0.8546068476977567,1.1177502012727372,0.011994927069984099,0.0717525383707202,False,False,19.99035,18.0301,0.933904,True
float,sbM,1024,16,12,8,0,0,1,0.8419327473562187,0.8351444050529566,0.8419327473562187,0.8351444050529566,1.0081283455438244,0.013465407659748347,0.04196753825879764,False,True,22.5262,18.889049999999997,1.867808,True
