shape,type,m,n,k,batch,transA,vendor,route
G3_N1024_nb56_j504,cdouble,520,464,56,128,N,vendor_free,Native:RegisterTiled
G1_N1024_nb56_j952,cdouble,56,16,72,128,C,vendor_present,Vendor:Auto
G1_N1024_nb56_j952,cdouble,56,16,72,128,C,vendor_free,Native:RegisterTiled
G3_N1024_nb56_j952,cdouble,72,16,56,128,N,vendor_present,Vendor:Auto
G3_N1024_nb56_j952,cdouble,72,16,56,128,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j0,cdouble,56,1992,2048,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j0,cdouble,56,1992,2048,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j0,cdouble,2048,1992,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j0,cdouble,2048,1992,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1008,cdouble,56,984,1040,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j1008,cdouble,56,984,1040,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1008,cdouble,1040,984,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1008,cdouble,1040,984,56,32,N,vendor_free,Native:RegisterTiled
G1_N2048_nb56_j1960,cdouble,56,32,88,32,C,vendor_present,Vendor:Auto
G1_N2048_nb56_j1960,cdouble,56,32,88,32,C,vendor_free,Native:RegisterTiled
G3_N2048_nb56_j1960,cdouble,88,32,56,32,N,vendor_present,Vendor:Auto
G3_N2048_nb56_j1960,cdouble,88,32,56,32,N,vendor_free,Native:RegisterTiled
