== PART 1: trailing GEMM pair vs nb, vendor-free build, N=1024 b=128 ==
build,which,type,N,nb,j0,batch,m,n,k,med_ms,rel_sd,GFLOPs
32,synthI,cfloat,256,512,14.9732,14.9794,0.0011,1147.37,-1.000e+00,2.077e-06,-1.000e+00,104857600,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cfloat,256,512,19.8031,19.8564,0.0040,867.53,-1.000e+00,1.881e-06,-1.000e+00,160432128,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cfloat,256,512,23.2561,23.2559,0.0003,738.73,-1.000e+00,2.819e-06,-1.000e+00,189005824,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cfloat,256,512,28.3165,28.3159,0.0001,606.71,-1.000e+00,2.385e-06,-1.000e+00,218103808,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cfloat,256,512,44.6703,44.6738,0.0005,384.59,-1.000e+00,2.611e-06,-1.000e+00,339738624,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,cdouble,256,512,307.9756,307.9794,0.0000,55.78,-1.000e+00,4.059e-15,-1.000e+00,50855936,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cdouble,256,512,217.5550,217.5531,0.0000,78.97,-1.000e+00,3.635e-15,-1.000e+00,102760448,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,cdouble,256,512,271.9513,272.0187,0.0004,63.17,-1.000e+00,3.598e-15,-1.000e+00,155713536,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,cdouble,256,512,175.6019,175.6081,0.0001,97.83,-1.000e+00,3.937e-15,-1.000e+00,209715200,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,cdouble,256,512,224.7183,224.7380,0.0004,76.45,-1.000e+00,4.380e-15,-1.000e+00,320864256,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,cdouble,256,512,267.1360,267.1610,0.0001,64.31,-1.000e+00,4.900e-15,-1.000e+00,378011648,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,cdouble,256,512,274.3354,274.3267,0.0001,62.62,-1.000e+00,4.905e-15,-1.000e+00,436207616,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,cdouble,256,512,378.5380,378.5928,0.0003,45.38,-1.000e+00,5.654e-15,-1.000e+00,679477248,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,float,1024,64,84.9865,84.9843,0.0002,1617.19,-1.000e+00,3.869e-06,-1.000e+00,6307840,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,float,1024,64,45.3574,45.3593,0.0002,3030.13,-1.000e+00,3.165e-06,-1.000e+00,12648448,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,float,1024,64,43.3128,43.3116,0.0001,3173.17,-1.000e+00,2.888e-06,-1.000e+00,19021824,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,float,1024,64,36.8172,36.8186,0.0001,3733.01,-1.000e+00,3.488e-06,-1.000e+00,25427968,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,float,1024,64,40.0885,40.0849,0.0002,3428.39,-1.000e+00,3.258e-06,-1.000e+00,38338560,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,float,1024,64,45.4846,45.4838,0.0001,3021.66,-1.000e+00,3.455e-06,-1.000e+00,44843008,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,float,1024,64,46.6258,46.6240,0.0001,2947.70,-1.000e+00,3.533e-06,-1.000e+00,51380224,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,float,1024,64,62.4619,62.4669,0.0002,2200.37,-1.000e+00,3.539e-06,-1.000e+00,77856768,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,double,1024,64,219.1096,219.0599,0.0003,627.26,-1.000e+00,1.010e-14,-1.000e+00,12615680,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,double,1024,64,123.6477,123.6527,0.0001,1111.54,-1.000e+00,8.997e-15,-1.000e+00,25296896,route=1:3,nb=16,dQ=-1.000e+00
24,synthI,double,1024,64,150.6669,150.7057,0.0004,912.20,-1.000e+00,9.580e-15,-1.000e+00,38043648,route=1:3,nb=24,dQ=-1.000e+00
32,synthI,double,1024,64,135.6464,135.5942,0.0006,1013.22,-1.000e+00,9.771e-15,-1.000e+00,50855936,route=1:3,nb=32,dQ=-1.000e+00
48,synthI,double,1024,64,155.2796,155.2878,0.0007,885.11,-1.000e+00,9.218e-15,-1.000e+00,76677120,route=1:3,nb=48,dQ=-1.000e+00
56,synthI,double,1024,64,174.8225,174.9289,0.0009,786.16,-1.000e+00,9.803e-15,-1.000e+00,89686016,route=1:3,nb=56,dQ=-1.000e+00
64,synthI,double,1024,64,181.2479,181.2866,0.0004,758.29,-1.000e+00,9.219e-15,-1.000e+00,102760448,route=1:3,nb=64,dQ=-1.000e+00
96,synthI,double,1024,64,231.6728,231.6724,0.0000,593.25,-1.000e+00,9.914e-15,-1.000e+00,155713536,route=1:3,nb=96,dQ=-1.000e+00
8,synthI,cfloat,1024,64,193.6922,193.7514,0.0007,709.57,-1.000e+00,2.528e-06,-1.000e+00,12615680,route=1:3,nb=8,dQ=-1.000e+00
16,synthI,cfloat,1024,64,101.5291,101.2847,0.0036,1353.69,-1.000e+00,3.050e-06,-1.000e+00,25296896,route=1:3,nb=16,dQ=-1.000e+00
