arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,cfloat,512,16,512,T,native:cta,0.01354,0.01357,0.0104,2637.1,2.776,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,T,vendor:auto,0.03476,0.03478,0.0032,2055.3,2.163,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,T,native:direct,0.06704,0.06705,0.0028,1065.6,1.122,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,T,native:cta,0.04659,0.04659,0.0027,1533.3,1.614,0.00e+00,512,16,512,0
vendor,float,512,16,512,C,vendor:auto,0.01104,0.01110,0.0233,1617.5,1.703,0.00e+00,512,16,512,0
native:direct,float,512,16,512,C,native:direct,0.02122,0.02123,0.0035,841.5,0.886,0.00e+00,512,16,512,0
native:cta,float,512,16,512,C,native:cta,0.01001,0.00997,0.0100,1783.4,1.877,0.00e+00,512,16,512,0
vendor,double,512,16,512,C,vendor:auto,0.01727,0.01726,0.0068,2067.9,2.177,0.00e+00,512,16,512,0
native:direct,double,512,16,512,C,native:direct,0.03088,0.03086,0.0037,1156.6,1.218,0.00e+00,512,16,512,0
native:cta,double,512,16,512,C,native:cta,0.01810,0.01853,0.0511,1972.9,2.077,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,C,vendor:auto,0.01482,0.01487,0.0110,2409.7,2.537,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,C,native:direct,0.04004,0.04119,0.0940,892.1,0.939,0.00e+00,512,16,512,0
native:cta,cfloat,512,16,512,C,native:cta,0.01357,0.01355,0.0079,2633.0,2.772,0.00e+00,512,16,512,0
vendor,cdouble,512,16,512,C,vendor:auto,0.03461,0.03478,0.0109,2064.2,2.173,0.00e+00,512,16,512,0
native:direct,cdouble,512,16,512,C,native:direct,0.06526,0.06527,0.0014,1094.6,1.152,0.00e+00,512,16,512,0
native:cta,cdouble,512,16,512,C,native:cta,0.04675,0.04688,0.0088,1527.8,1.608,0.00e+00,512,16,512,0
vendor,float,16,2048,512,N,vendor:auto,0.02278,0.02281,0.0123,3131.9,3.297,0.00e+00,16,16,2048,0
native:direct,float,16,2048,512,N,native:direct,0.03879,0.03878,0.0023,1839.1,1.936,0.00e+00,16,16,2048,0
vendor,double,16,2048,512,N,vendor:auto,0.15782,0.15792,0.0016,904.0,0.952,0.00e+00,16,16,2048,0
native:direct,double,16,2048,512,N,native:direct,0.16294,0.16305,0.0062,875.6,0.922,0.00e+00,16,16,2048,0
vendor,cfloat,16,2048,512,N,vendor:auto,0.14875,0.14878,0.0020,959.1,1.010,0.00e+00,16,16,2048,0
native:direct,cfloat,16,2048,512,N,native:direct,0.16045,0.16052,0.0037,889.2,0.936,0.00e+00,16,16,2048,0
