type,m,n,batch,transA,arm,wA,wB,med_a_ms,med_b_ms,relsd_a,relsd_b,GBs_a,GBs_b,ratio,relerr_a,relerr_b,ld,out_len,red_len,MB,foreign
double,32,256,512,T,4,4,1,0.02552,0.06861,0.0036,0.0017,1360.8,506.3,2.6879,0.00e+00,0.00e+00,32,256,32,32,0
double,32,256,512,T,8,8,1,0.01876,0.06834,0.0074,0.0020,1851.1,508.2,3.6421,0.00e+00,0.00e+00,32,256,32,32,0
cfloat,32,256,512,T,2,2,1,0.01734,0.02544,0.0051,0.0034,2002.8,1365.2,1.4670,0.00e+00,0.00e+00,32,256,32,32,0
cfloat,32,256,512,T,4,4,1,0.01431,0.02647,0.0086,0.0041,2427.1,1312.3,1.8495,0.00e+00,0.00e+00,32,256,32,32,0
cfloat,32,256,512,T,8,8,1,0.01860,0.02650,0.0084,0.0074,1867.2,1310.7,1.4246,0.00e+00,0.00e+00,32,256,32,32,0
float,32,256,512,T,2,2,1,0.01533,0.02294,0.0041,0.0052,1133.2,757.1,1.4968,0.00e+00,0.00e+00,32,256,32,16,0
float,32,256,512,T,4,4,1,0.01160,0.02306,0.0107,0.0051,1497.5,753.0,1.9889,0.00e+00,0.00e+00,32,256,32,16,0
float,32,256,512,T,8,8,1,0.01315,0.02414,0.0114,0.0088,1320.6,719.5,1.8355,0.00e+00,0.00e+00,32,256,32,16,0
cdouble,48,256,512,T,2,2,1,0.12166,0.23236,0.0051,0.0009,847.9,443.9,1.9099,0.00e+00,0.00e+00,48,256,48,96,0
cdouble,48,256,512,T,4,4,1,0.12121,0.23275,0.0046,0.0011,851.1,443.2,1.9202,0.00e+00,0.00e+00,48,256,48,96,0
cdouble,48,256,512,T,8,8,1,0.14344,0.23274,0.0155,0.0019,719.2,443.2,1.6226,0.00e+00,0.00e+00,48,256,48,96,0
double,48,256,512,T,2,2,1,0.03398,0.06796,0.0069,0.0020,1518.0,758.9,2.0003,0.00e+00,0.00e+00,48,256,48,48,0
double,48,256,512,T,4,4,1,0.02574,0.06868,0.0063,0.0030,2003.7,751.0,2.6682,0.00e+00,0.00e+00,48,256,48,48,0
double,48,256,512,T,8,8,1,0.02295,0.06814,0.0059,0.0016,2247.4,757.0,2.9689,0.00e+00,0.00e+00,48,256,48,48,0
cfloat,48,256,512,T,2,2,1,0.01892,0.03037,0.0031,0.0026,2726.8,1698.2,1.6057,0.00e+00,0.00e+00,48,256,48,48,0
cfloat,48,256,512,T,4,4,1,0.01666,0.02998,0.0077,0.0041,3095.3,1720.3,1.7993,0.00e+00,0.00e+00,48,256,48,48,0
cfloat,48,256,512,T,8,8,1,0.02443,0.02993,0.0070,0.0355,2111.5,1723.1,1.2254,0.00e+00,0.00e+00,48,256,48,48,0
float,48,256,512,T,2,2,1,0.01546,0.02332,0.0051,0.0033,1668.1,1105.8,1.5085,0.00e+00,0.00e+00,48,256,48,24,0
float,48,256,512,T,4,4,1,0.01359,0.02340,0.0064,0.0067,1897.3,1102.2,1.7214,0.00e+00,0.00e+00,48,256,48,24,0
float,48,256,512,T,8,8,1,0.01477,0.02359,0.0137,0.0164,1746.5,1093.3,1.5975,0.00e+00,0.00e+00,48,256,48,24,0
cdouble,64,256,512,T,2,2,1,0.15771,0.19935,0.0029,0.0013,867.7,686.4,1.2640,0.00e+00,0.00e+00,64,256,64,128,0
cdouble,64,256,512,T,4,4,1,0.15869,0.19971,0.0024,0.0016,862.3,685.2,1.2585,0.00e+00,0.00e+00,64,256,64,128,0
cdouble,64,256,512,T,8,8,1,0.18503,0.20012,0.0072,0.0016,739.5,683.8,1.0816,0.00e+00,0.00e+00,64,256,64,128,0
double,64,256,512,T,2,2,1,0.04778,0.06871,0.0035,0.0018,1432.0,995.8,1.4381,0.00e+00,0.00e+00,64,256,64,64,0
double,64,256,512,T,4,4,1,0.03215,0.06851,0.0048,0.0019,2128.4,998.7,2.1312,0.00e+00,0.00e+00,64,256,64,64,0
double,64,256,512,T,8,8,1,0.02679,0.06871,0.0133,0.0048,2553.8,995.8,2.5646,0.00e+00,0.00e+00,64,256,64,64,0
cfloat,64,256,512,T,2,2,1,0.02037,0.02808,0.0037,0.0046,3358.8,2436.4,1.3786,0.00e+00,0.00e+00,64,256,64,64,0
cfloat,64,256,512,T,4,4,1,0.01971,0.02770,0.0045,0.0032,3470.4,2470.0,1.4050,0.00e+00,0.00e+00,64,256,64,64,0
cfloat,64,256,512,T,8,8,1,0.02814,0.02843,0.0060,0.0091,2431.7,2406.7,1.0104,0.00e+00,0.00e+00,64,256,64,64,0
float,64,256,512,T,2,2,1,0.01696,0.02317,0.0057,0.0031,2017.3,1476.4,1.3664,0.00e+00,0.00e+00,64,256,64,32,0
float,64,256,512,T,4,4,1,0.01543,0.02316,0.0075,0.0049,2217.7,1476.9,1.5016,0.00e+00,0.00e+00,64,256,64,32,0
float,64,256,512,T,8,8,1,0.01707,0.02317,0.0179,0.0034,2004.2,1476.6,1.3573,0.00e+00,0.00e+00,64,256,64,32,0
