type,m,n,batch,transA,median_ms,mean_ms,rel_sd,GBs,frac_of_900,relerr
float,64,2048,2048,Trans,1.13164,1.16569,0.0632,964.1,1.071,0.00e+00
float,64,2048,2048,NoTrans,1.14889,1.14865,0.0005,949.6,1.055,0.00e+00
float,128,32,32768,Trans,0.60008,0.63201,0.1086,929.6,1.033,0.00e+00
float,128,32,32768,NoTrans,0.60895,0.60893,0.0007,916.1,1.018,0.00e+00
float,128,64,32768,Trans,1.17679,1.20851,0.0566,933.8,1.038,0.00e+00
float,128,64,32768,NoTrans,1.18634,1.21947,0.0578,926.3,1.029,0.00e+00
float,128,128,16384,Trans,1.16722,1.16733,0.0003,934.3,1.038,0.00e+00
float,128,128,16384,NoTrans,1.16629,1.19993,0.0596,935.0,1.039,0.00e+00
float,128,256,8192,Trans,1.16247,1.16250,0.0008,934.5,1.038,0.00e+00
float,128,256,8192,NoTrans,1.16089,1.16086,0.0005,935.8,1.040,0.00e+00
float,128,512,4096,Trans,1.16055,1.16023,0.0009,934.2,1.038,0.00e+00
float,128,512,4096,NoTrans,1.14885,1.16615,0.0477,943.8,1.049,0.00e+00
float,128,1024,2048,Trans,1.12981,1.12982,0.0003,958.7,1.065,0.00e+00
float,128,1024,2048,NoTrans,1.14288,1.17620,0.0604,947.8,1.053,0.00e+00
float,128,2048,1024,Trans,1.13011,1.13027,0.0002,958.0,1.064,0.00e+00
float,128,2048,1024,NoTrans,1.14168,1.14188,0.0018,948.3,1.054,0.00e+00
float,256,32,32768,Trans,1.18648,1.18671,0.0004,936.8,1.041,0.00e+00
float,256,32,32768,NoTrans,1.20501,1.23744,0.0559,922.4,1.025,0.00e+00
float,256,64,16384,Trans,1.16911,1.18659,0.0467,936.4,1.040,0.00e+00
float,256,64,16384,NoTrans,1.18098,1.19677,0.0418,927.0,1.030,0.00e+00
float,256,128,8192,Trans,1.16024,1.16057,0.0010,936.3,1.040,0.00e+00
float,256,128,8192,NoTrans,1.16086,1.16080,0.0006,935.8,1.040,0.00e+00
float,256,256,4096,Trans,1.15533,1.15552,0.0003,936.6,1.041,0.00e+00
float,256,256,4096,NoTrans,1.15739,1.15749,0.0006,935.0,1.039,0.00e+00
float,256,512,2048,Trans,1.15324,1.15330,0.0003,936.5,1.041,0.00e+00
float,256,512,2048,NoTrans,1.14352,1.14358,0.0010,944.5,1.049,0.00e+00
float,256,1024,1024,Trans,1.15270,1.15276,0.0004,936.0,1.040,0.00e+00
float,256,1024,1024,NoTrans,1.13794,1.17066,0.0596,948.2,1.054,0.00e+00
float,256,2048,512,Trans,1.12768,1.14533,0.0486,956.4,1.063,0.00e+00
float,256,2048,512,NoTrans,1.13698,1.13785,0.0020,948.5,1.054,0.00e+00
float,512,32,16384,Trans,1.17645,1.20905,0.0574,943.0,1.048,0.00e+00
float,512,32,16384,NoTrans,1.20259,1.23545,0.0567,922.5,1.025,0.00e+00
float,512,64,8192,Trans,1.15899,1.15891,0.0003,942.7,1.047,0.00e+00
float,512,64,8192,NoTrans,1.12556,1.12570,0.0003,970.7,1.079,0.00e+00
float,512,128,4096,Trans,1.12611,1.15957,0.0616,962.8,1.070,0.00e+00
float,512,128,4096,NoTrans,1.13048,1.13061,0.0003,959.1,1.066,0.00e+00
float,512,256,2048,Trans,1.14873,1.14879,0.0004,940.2,1.045,0.00e+00
float,512,256,2048,NoTrans,1.15924,1.17037,0.0213,931.7,1.035,0.00e+00
float,512,512,1024,Trans,1.14616,1.14609,0.0005,940.5,1.045,0.00e+00
float,512,512,1024,NoTrans,1.14187,1.14210,0.0007,944.0,1.049,0.00e+00
float,512,1024,512,Trans,1.14520,1.14573,0.0009,940.4,1.045,0.00e+00
float,512,1024,512,NoTrans,1.13572,1.13577,0.0005,948.2,1.054,0.00e+00
float,512,2048,256,Trans,1.14423,1.14433,0.0005,940.7,1.045,0.00e+00
float,512,2048,256,NoTrans,1.13552,1.13630,0.0018,947.9,1.053,0.00e+00
float,1024,32,8192,Trans,1.16980,1.20296,0.0585,947.5,1.053,0.00e+00
float,1024,32,8192,NoTrans,1.20254,1.23554,0.0556,921.7,1.024,0.00e+00
float,1024,64,4096,Trans,1.15220,1.15221,0.0003,947.4,1.053,0.00e+00
float,1024,64,4096,NoTrans,1.12547,1.12547,0.0002,969.9,1.078,0.00e+00
float,1024,128,2048,Trans,1.12797,1.12794,0.0003,960.3,1.067,0.00e+00
float,1024,128,2048,NoTrans,1.13057,1.16337,0.0607,958.1,1.065,0.00e+00
float,1024,256,1024,Trans,1.14167,1.14191,0.0006,945.1,1.050,0.00e+00
float,1024,256,1024,NoTrans,1.15405,1.15429,0.0005,935.0,1.039,0.00e+00
float,1024,512,512,Trans,1.13950,1.17171,0.0589,945.1,1.050,0.00e+00
float,1024,512,512,NoTrans,1.13903,1.17176,0.0599,945.4,1.050,0.00e+00
float,1024,1024,256,Trans,1.12951,1.13015,0.0013,952.5,1.058,0.00e+00
float,1024,1024,256,NoTrans,1.13481,1.13476,0.0005,948.0,1.053,0.00e+00
float,1024,2048,128,Trans,1.12806,1.16013,0.0584,953.2,1.059,0.00e+00
float,1024,2048,128,NoTrans,1.13423,1.13391,0.0013,948.1,1.053,0.00e+00
float,2048,32,4096,Trans,1.16594,1.20033,0.0608,950.2,1.056,0.00e+00
float,2048,32,4096,NoTrans,1.20004,1.20003,0.0002,923.2,1.026,0.00e+00
float,2048,64,2048,Trans,1.14855,1.18152,0.0595,949.9,1.055,0.00e+00
float,2048,64,2048,NoTrans,1.17844,1.21098,0.0559,925.8,1.029,0.00e+00
float,2048,128,1024,Trans,1.14051,1.17302,0.0594,949.3,1.055,0.00e+00
float,2048,128,1024,NoTrans,1.16314,1.18070,0.0471,930.8,1.034,0.00e+00
float,2048,256,512,Trans,1.13590,1.16865,0.0600,949.4,1.055,0.00e+00
float,2048,256,512,NoTrans,1.15098,1.15084,0.0006,937.0,1.041,0.00e+00
float,2048,512,256,Trans,1.12873,1.12953,0.0016,953.6,1.060,0.00e+00
float,2048,512,256,NoTrans,1.13965,1.17275,0.0597,944.5,1.049,0.00e+00
float,2048,1024,128,Trans,1.12529,1.12539,0.0002,955.6,1.062,0.00e+00
float,2048,1024,128,NoTrans,1.13460,1.13448,0.0004,947.8,1.053,0.00e+00
float,2048,2048,64,Trans,1.12563,1.12566,0.0003,954.8,1.061,0.00e+00
float,2048,2048,64,NoTrans,1.13310,1.13352,0.0017,948.5,1.054,0.00e+00
