cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
VV,vendor,cfloat,512,512,96,32,7.9820,7.9742,0.0006,11479.07,2.328e-10,0,0,0
VV,blocked,cfloat,512,512,96,32,19.1952,18.8979,0.0086,4773.37,6.915e-10,0,0,0
def,vendor,cfloat,1024,128,96,32,11.9991,11.9924,0.0004,15272.13,2.328e-10,0,0,0
def,blocked,cfloat,1024,128,96,32,11.8039,11.7411,0.0029,15524.67,3.234e-10,0,0,34
nn,vendor,cfloat,1024,128,96,32,12.0650,12.0563,0.0006,15188.72,2.328e-10,0,0,0
nn,blocked,cfloat,1024,128,96,32,28.1947,27.9408,0.0061,6499.52,3.234e-10,0,0,9
VV,vendor,cfloat,1024,128,96,32,11.9634,11.9521,0.0008,15317.73,2.328e-10,0,0,0
VV,blocked,cfloat,1024,128,96,32,18.6200,18.5720,0.0013,9841.69,3.234e-10,0,0,0
def,vendor,cfloat,1024,256,96,32,27.1630,27.1572,0.0002,13492.78,2.328e-10,0,0,0
def,blocked,cfloat,1024,256,96,32,25.6035,25.5931,0.0006,14314.57,4.543e+00,0,0,68
nn,vendor,cfloat,1024,256,96,32,27.3527,27.3237,0.0009,13399.19,2.328e-10,0,0,0
nn,blocked,cfloat,1024,256,96,32,55.6394,54.9499,0.0072,6587.12,2.547e-01,0,0,32
VV,vendor,cfloat,1024,256,96,32,27.4202,27.4103,0.0008,13366.22,2.328e-10,0,0,0
VV,blocked,cfloat,1024,256,96,32,48.4957,48.3980,0.0011,7557.45,5.821e-11,0,0,0
def,vendor,cfloat,2048,32,96,32,19.6996,19.6786,0.0008,18604.61,2.042e-10,0,0,0
def,blocked,cfloat,2048,32,96,32,23.9440,23.3334,0.0265,15306.68,1.021e-10,0,0,2
nn,vendor,cfloat,2048,32,96,32,19.7664,19.7620,0.0016,18541.72,2.042e-10,0,0,0
nn,blocked,cfloat,2048,32,96,32,60.3494,59.2131,0.0097,6073.04,1.021e-10,0,0,3
VV,vendor,cfloat,2048,32,96,32,19.7575,19.7320,0.0013,18550.07,2.042e-10,0,0,0
VV,blocked,cfloat,2048,32,96,32,36.8721,36.8472,0.0011,9939.86,1.021e-10,0,0,0
def,vendor,cfloat,2048,64,96,32,43.7464,43.7211,0.0004,16755.84,3.638e-10,0,0,0
def,blocked,cfloat,2048,64,96,32,44.3461,44.2343,0.0018,16529.27,1.394e+08,0,0,33
nn,vendor,cfloat,2048,64,96,32,43.6679,43.6234,0.0007,16785.94,3.638e-10,0,0,0
nn,blocked,cfloat,2048,64,96,32,111.5201,108.7675,0.0140,6572.87,1.039e-10,0,0,14
VV,vendor,cfloat,2048,64,96,32,43.5332,43.5190,0.0002,16837.89,3.638e-10,0,0,0
VV,blocked,cfloat,2048,64,96,32,57.8048,57.7555,0.0005,12680.75,1.039e-10,0,0,0
def,vendor,cdouble,128,512,64,16,1.9608,1.9457,0.0037,730.13,5.151e-18,0,0,0
def,blocked,cdouble,128,512,64,16,3.1215,3.1193,0.0009,458.65,3.434e-18,0,0,6
nn,vendor,cdouble,128,512,64,16,1.9471,1.9414,0.0032,735.29,5.151e-18,0,0,0
nn,blocked,cdouble,128,512,64,16,4.4401,4.4396,0.0004,322.43,3.434e-18,0,0,0
VV,vendor,cdouble,128,512,64,16,1.9472,1.9467,0.0022,735.25,5.151e-18,0,0,0
VV,blocked,cdouble,128,512,64,16,8.5525,8.5520,0.0001,167.40,3.434e-18,0,0,0
def,vendor,cdouble,128,2048,64,16,7.6545,7.6433,0.0033,748.13,2.602e-18,0,0,0
def,blocked,cdouble,128,2048,64,16,12.5160,12.5036,0.0075,457.54,3.478e-01,0,0,49
nn,vendor,cdouble,128,2048,64,16,7.6450,7.6375,0.0005,749.07,2.602e-18,0,0,0
nn,blocked,cdouble,128,2048,64,16,17.7759,17.7751,0.0015,322.16,1.225e-02,0,0,33
VV,vendor,cdouble,128,2048,64,16,7.6462,7.6434,0.0005,748.95,2.602e-18,0,0,0
VV,blocked,cdouble,128,2048,64,16,14.4618,14.4612,0.0004,395.98,1.735e-18,0,0,0
def,vendor,cdouble,256,256,64,16,6.4971,6.4953,0.0010,881.42,8.674e-19,0,0,0
def,blocked,cdouble,256,256,64,16,7.3589,7.3540,0.0009,778.19,8.674e-19,0,0,5
nn,vendor,cdouble,256,256,64,16,6.4945,6.4932,0.0001,881.77,8.674e-19,0,0,0
nn,blocked,cdouble,256,256,64,16,15.1244,15.1123,0.0004,378.63,8.674e-19,0,0,4
VV,vendor,cdouble,256,256,64,16,6.4995,6.4957,0.0006,881.08,8.674e-19,0,0,0
VV,blocked,cdouble,256,256,64,16,25.5089,25.5068,0.0001,224.50,8.674e-19,0,0,0
def,vendor,cdouble,256,1024,64,16,25.7749,25.7639,0.0018,888.71,1.684e-18,0,0,0
def,blocked,cdouble,256,1024,64,16,31.1784,31.1619,0.0002,734.69,2.063e-02,0,0,80
nn,vendor,cdouble,256,1024,64,16,25.7783,25.7543,0.0009,888.60,1.684e-18,0,0,0
nn,blocked,cdouble,256,1024,64,16,62.0444,61.9924,0.0006,369.19,4.262e-02,0,0,67
VV,vendor,cdouble,256,1024,64,16,25.7607,25.7555,0.0008,889.20,1.684e-18,0,0,0
VV,blocked,cdouble,256,1024,64,16,49.0082,49.0012,0.0005,467.40,1.684e-18,0,0,0
def,vendor,cdouble,512,128,64,16,22.1171,22.1121,0.0003,1035.69,1.606e-18,0,0,0
def,blocked,cdouble,512,128,64,16,25.8645,25.7591,0.0020,885.63,4.336e-19,0,0,3
nn,vendor,cdouble,512,128,64,16,22.1030,22.0995,0.0008,1036.35,1.606e-18,0,0,0
nn,blocked,cdouble,512,128,64,16,60.4904,60.4516,0.0006,378.68,4.336e-19,0,0,3
VV,vendor,cdouble,512,128,64,16,22.1318,22.1040,0.0009,1035.00,1.606e-18,0,0,0
VV,blocked,cdouble,512,128,64,16,68.1886,68.1559,0.0003,335.93,4.336e-19,0,0,0
def,vendor,cdouble,512,512,64,16,87.5316,87.4742,0.0003,1046.78,4.337e-19,0,0,0
def,blocked,cdouble,512,512,64,16,98.0245,97.9849,0.0002,934.72,4.695e+01,0,0,91
nn,vendor,cdouble,512,512,64,16,87.4974,87.4731,0.0003,1047.19,4.337e-19,0,0,0
nn,blocked,cdouble,512,512,64,16,240.2077,240.1887,0.0004,381.44,9.455e-02,0,0,91
VV,vendor,cdouble,512,512,64,16,89.2981,87.5104,0.0344,1026.07,4.337e-19,0,0,0
VV,blocked,cdouble,512,512,64,16,152.0043,147.7215,0.0246,602.79,8.588e-19,0,0,0
def,vendor,cdouble,1024,128,64,16,155.2767,155.1997,0.0004,1180.16,4.016e-19,0,0,0
def,blocked,cdouble,1024,128,64,16,182.2435,182.0604,0.0005,1005.53,3.447e+05,0,0,37
nn,vendor,cdouble,1024,128,64,16,158.0679,155.2834,0.0214,1159.32,4.016e-19,0,0,0
nn,blocked,cdouble,1024,128,64,16,481.9013,480.1384,0.0126,380.27,1.521e+00,0,0,34
VV,vendor,cdouble,1024,128,64,16,158.9866,154.6939,0.0167,1152.63,4.016e-19,0,0,0
VV,blocked,cdouble,1024,128,64,16,272.9749,264.8826,0.0212,671.31,4.016e-19,0,0,0
def,vendor,cdouble,1024,256,64,16,310.0565,309.8223,0.0021,1182.06,3.253e-19,0,0,0
def,blocked,cdouble,1024,256,64,16,348.9194,348.8528,0.0048,1050.40,2.123e-04,0,0,57
nn,vendor,cdouble,1024,256,64,16,309.8244,309.8020,0.0064,1182.94,3.253e-19,0,0,0
nn,blocked,cdouble,1024,256,64,16,955.1269,954.9971,0.0030,383.72,4.337e-19,0,0,43
VV,vendor,cdouble,1024,256,64,16,309.8326,309.8067,0.0002,1182.91,3.253e-19,0,0,0
VV,blocked,cdouble,1024,256,64,16,462.4477,462.4455,0.0001,792.53,1.084e-19,0,0,0
def,vendor,cdouble,2048,32,64,16,300.3301,299.1476,0.0016,1220.34,1.902e-19,0,0,0
def,blocked,cdouble,2048,32,64,16,423.1463,422.6890,0.0010,866.14,3.804e-19,0,0,5
nn,vendor,cdouble,2048,32,64,16,300.3143,300.2973,0.0000,1220.40,1.902e-19,0,0,0
nn,blocked,cdouble,2048,32,64,16,1070.6452,1070.2237,0.0021,342.32,4.880e-04,0,0,9
VV,vendor,cdouble,2048,32,64,16,300.2634,299.1239,0.0068,1220.61,1.902e-19,0,0,0
VV,blocked,cdouble,2048,32,64,16,609.1380,606.9291,0.0015,601.68,3.804e-19,0,0,0
def,vendor,cdouble,2048,64,64,16,581.8610,581.8568,0.0000,1259.76,3.872e-19,0,0,0
def,blocked,cdouble,2048,64,64,16,733.0554,732.8063,0.0003,999.94,2.200e-01,0,0,35
nn,vendor,cdouble,2048,64,64,16,581.8433,581.8416,0.0001,1259.80,3.872e-19,0,0,0
nn,blocked,cdouble,2048,64,64,16,1988.8318,1988.5564,0.0001,368.56,1.789e-03,0,0,32
VV,vendor,cdouble,2048,64,64,16,581.8357,581.8233,0.0000,1259.82,3.872e-19,0,0,0
VV,blocked,cdouble,2048,64,64,16,903.3367,903.0496,0.0002,811.44,1.084e-19,0,0,0
