cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
vn,5,blocked,float,1024,128,128,32,7.9621,7.6752,0.0183,5753.85,1.075e-10,0,0,0
nn,1,vendor,float,1024,128,128,32,7.2642,7.2626,0.0001,6306.65,3.219e-10,0,0,0
nn,1,blocked,float,1024,128,128,32,9.0736,9.0714,0.0001,5049.04,1.075e-10,0,0,11
nn,2,vendor,float,1024,128,128,32,7.2669,7.2664,0.0000,6304.33,3.219e-10,0,0,0
nn,2,blocked,float,1024,128,128,32,9.0781,9.0690,0.0005,5046.52,1.075e-10,0,0,16
nn,3,vendor,float,1024,128,128,32,7.2725,7.2583,0.0010,6299.51,3.219e-10,0,0,0
nn,3,blocked,float,1024,128,128,32,9.1530,9.0654,0.0048,5005.24,1.075e-10,0,0,14
nn,4,vendor,float,1024,128,128,32,7.3678,7.3523,0.0010,6218.02,3.219e-10,0,0,0
nn,4,blocked,float,1024,128,128,32,9.0754,9.0682,0.0004,5048.02,1.075e-10,0,0,12
nn,5,vendor,float,1024,128,128,32,7.2733,7.2647,0.0006,6298.79,3.219e-10,0,0,0
nn,5,blocked,float,1024,128,128,32,9.0713,9.0696,0.0001,5050.32,1.075e-10,0,0,10
vv,1,vendor,double,256,128,96,32,1.0042,1.0038,0.0002,712.85,2.236e-18,0,0,0
vv,1,blocked,double,256,128,96,32,1.0912,1.0882,0.0014,656.00,1.604e-18,0,0,0
vv,2,vendor,double,256,128,96,32,1.0038,1.0033,0.0002,713.15,2.236e-18,0,0,0
vv,2,blocked,double,256,128,96,32,1.0892,1.0888,0.0002,657.23,1.604e-18,0,0,0
vv,3,vendor,double,256,128,96,32,1.0034,1.0026,0.0004,713.37,2.236e-18,0,0,0
vv,3,blocked,double,256,128,96,32,1.0885,1.0879,0.0003,657.62,1.604e-18,0,0,0
vv,4,vendor,double,256,128,96,32,1.0031,1.0030,0.0000,713.63,2.236e-18,0,0,0
vv,4,blocked,double,256,128,96,32,1.0884,1.0877,0.0003,657.71,1.604e-18,0,0,0
vv,5,vendor,double,256,128,96,32,1.0524,1.0123,0.0194,680.17,2.236e-18,0,0,0
vv,5,blocked,double,256,128,96,32,1.1863,1.1163,0.0304,603.42,1.604e-18,0,0,0
nv,1,vendor,double,256,128,96,32,1.0031,1.0020,0.0006,713.61,2.236e-18,0,0,0
nv,1,blocked,double,256,128,96,32,1.0894,1.0893,0.0000,657.10,1.604e-18,0,0,0
nv,2,vendor,double,256,128,96,32,1.0024,1.0021,0.0002,714.12,2.236e-18,0,0,0
nv,2,blocked,double,256,128,96,32,1.0885,1.0885,0.0000,657.61,1.604e-18,0,0,0
nv,3,vendor,double,256,128,96,32,1.0064,1.0021,0.0021,711.26,2.236e-18,0,0,0
nv,3,blocked,double,256,128,96,32,1.0891,1.0881,0.0005,657.26,1.604e-18,0,0,0
nv,4,vendor,double,256,128,96,32,1.0029,1.0029,0.0000,713.74,2.236e-18,0,0,0
nv,4,blocked,double,256,128,96,32,1.0890,1.0886,0.0002,657.31,1.604e-18,0,0,0
nv,5,vendor,double,256,128,96,32,1.0046,1.0034,0.0006,712.57,2.236e-18,0,0,0
nv,5,blocked,double,256,128,96,32,1.0880,1.0876,0.0002,657.91,1.604e-18,0,0,0
vn,1,vendor,double,256,128,96,32,1.0088,1.0063,0.0012,709.59,2.236e-18,0,0,0
vn,1,blocked,double,256,128,96,32,1.0924,1.0886,0.0017,655.30,1.604e-18,0,0,0
vn,2,vendor,double,256,128,96,32,1.0036,1.0029,0.0003,713.29,2.236e-18,0,0,0
vn,2,blocked,double,256,128,96,32,1.0902,1.0874,0.0013,656.59,1.604e-18,0,0,0
vn,3,vendor,double,256,128,96,32,1.0032,1.0028,0.0002,713.57,2.236e-18,0,0,0
vn,3,blocked,double,256,128,96,32,1.0883,1.0874,0.0004,657.78,1.604e-18,0,0,0
vn,4,vendor,double,256,128,96,32,1.0040,1.0032,0.0004,713.01,2.236e-18,0,0,0
vn,4,blocked,double,256,128,96,32,1.0884,1.0879,0.0003,657.66,1.604e-18,0,0,0
vn,5,vendor,double,256,128,96,32,1.0030,1.0024,0.0003,713.67,2.236e-18,0,0,0
vn,5,blocked,double,256,128,96,32,1.0894,1.0890,0.0002,657.07,1.604e-18,0,0,0
nn,1,vendor,double,256,128,96,32,1.0028,1.0019,0.0005,713.82,2.236e-18,0,0,0
nn,1,blocked,double,256,128,96,32,1.0892,1.0872,0.0009,657.21,1.604e-18,0,0,0
nn,2,vendor,double,256,128,96,32,1.0026,1.0023,0.0001,713.98,2.236e-18,0,0,0
nn,2,blocked,double,256,128,96,32,1.0892,1.0889,0.0001,657.22,1.604e-18,0,0,0
nn,3,vendor,double,256,128,96,32,1.0033,1.0021,0.0006,713.47,2.236e-18,0,0,0
nn,3,blocked,double,256,128,96,32,1.0895,1.0893,0.0001,657.02,1.604e-18,0,0,0
nn,4,vendor,double,256,128,96,32,1.0036,1.0033,0.0002,713.24,2.236e-18,0,0,0
nn,4,blocked,double,256,128,96,32,1.0885,1.0877,0.0004,657.64,1.604e-18,0,0,0
nn,5,vendor,double,256,128,96,32,1.0044,1.0031,0.0006,712.73,2.236e-18,0,0,0
nn,5,blocked,double,256,128,96,32,1.0894,1.0883,0.0005,657.09,1.604e-18,0,0,0
vv,1,vendor,double,512,128,96,32,5.9505,5.9500,0.0000,962.38,7.962e-19,0,0,0
vv,1,blocked,double,512,128,96,32,5.9819,5.9757,0.0005,957.33,1.113e-18,0,0,0
vv,2,vendor,double,512,128,96,32,5.9319,5.9312,0.0001,965.40,7.962e-19,0,0,0
vv,2,blocked,double,512,128,96,32,6.0716,5.9782,0.0077,943.19,1.113e-18,0,0,0
