pass,cfg,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
3,def,blocked,double,512,128,96,32,6.0102,6.0075,0.0003,952.82,1.205e-18,0,0,0
3,nn,vendor,double,512,128,96,32,5.9845,5.9649,0.0021,956.91,4.337e-19,0,0,0
3,nn,blocked,double,512,128,96,32,6.0099,5.9936,0.0018,952.86,1.205e-18,0,0,0
3,VV,vendor,double,512,128,96,32,5.9753,5.9564,0.0016,958.38,4.337e-19,0,0,0
3,VV,blocked,double,512,128,96,32,7.9754,7.9721,0.0005,718.03,1.205e-18,0,0,0
3,def,vendor,float,128,512,128,32,0.1412,0.1410,0.0890,2534.05,1.844e-09,0,0,0
3,def,blocked,float,128,512,128,32,0.3039,0.3035,0.0021,1177.69,1.844e-09,0,0,0
3,def,cta,float,128,512,128,32,0.2952,0.2949,0.0014,1212.45,1.844e-09,0,0,0
3,nn,vendor,float,128,512,128,32,0.1455,0.1426,0.0101,2460.52,1.844e-09,0,0,0
3,nn,blocked,float,128,512,128,32,0.3062,0.3048,0.4938,1169.05,1.844e-09,0,0,0
3,nn,cta,float,128,512,128,32,0.2958,0.2952,0.0053,1210.05,1.844e-09,0,0,0
3,VV,vendor,float,128,512,128,32,0.1423,0.1417,0.0099,2515.42,1.844e-09,0,0,0
3,VV,blocked,float,128,512,128,32,0.3043,0.3040,0.0019,1176.21,1.844e-09,0,0,0
3,VV,cta,float,128,512,128,32,0.2952,0.2951,0.0007,1212.25,1.844e-09,0,0,0
3,def,vendor,double,2048,32,96,32,78.2585,78.2425,0.0047,1170.81,1.902e-19,0,0,0
3,def,blocked,double,2048,32,96,32,107.6462,107.6224,0.0040,851.18,1.902e-19,0,0,0
3,nn,vendor,double,2048,32,96,32,78.3826,78.3604,0.0003,1168.96,1.902e-19,0,0,0
3,nn,blocked,double,2048,32,96,32,80.3001,80.2507,0.0077,1141.04,1.902e-19,0,0,0
3,VV,vendor,double,2048,32,96,32,78.2826,78.2500,0.0005,1170.45,1.902e-19,0,0,0
3,VV,blocked,double,2048,32,96,32,114.7338,114.2240,0.0026,798.60,1.902e-19,0,0,0
