rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
3,facade,cdouble,1024,96,64,16,145.6328,145.4425,0.0007,943.74,1.326e-03,0,0,28
1,vendor,cdouble,1024,128,64,16,154.6347,154.3140,0.0010,1185.06,3.474e-19,0,0,0
1,facade,cdouble,1024,128,64,16,181.2488,181.1243,0.0003,1011.05,3.471e-19,0,0,33
2,vendor,cdouble,1024,128,64,16,154.6438,154.3290,0.0010,1184.99,3.474e-19,0,0,0
2,facade,cdouble,1024,128,64,16,181.4848,181.2887,0.0005,1009.74,3.481e-19,0,0,21
3,vendor,cdouble,1024,128,64,16,154.7593,154.3398,0.0014,1184.11,3.474e-19,0,0,0
3,facade,cdouble,1024,128,64,16,181.1329,181.0743,0.0002,1011.70,3.471e-19,0,0,37
1,vendor,cdouble,1024,256,64,16,308.8221,308.8083,0.0000,1186.78,1.864e-19,0,0,0
1,facade,cdouble,1024,256,64,16,347.2923,347.2220,0.0001,1055.32,3.410e-02,0,0,85
2,vendor,cdouble,1024,256,64,16,308.8324,308.8129,0.0000,1186.74,1.864e-19,0,0,0
2,facade,cdouble,1024,256,64,16,347.4199,347.3077,0.0002,1054.93,2.936e-01,0,0,86
3,vendor,cdouble,1024,256,64,16,308.8703,308.8372,0.0001,1186.59,1.864e-19,0,0,0
3,facade,cdouble,1024,256,64,16,347.3823,347.3496,0.0000,1055.04,1.028e-01,0,0,85
