arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:cta,float,2048,16,512,C,native:cta,0.02448,0.02453,0.0086,2914.5,3.068,0.00e+00,2048,16,2048,0
vendor,double,2048,16,512,C,vendor:auto,0.15046,0.15037,0.0021,948.2,0.998,0.00e+00,2048,16,2048,0
native:direct,double,2048,16,512,C,native:direct,0.71517,0.71568,0.0041,199.5,0.210,0.00e+00,2048,16,2048,0
native:cta,double,2048,16,512,C,native:cta,0.15975,0.15974,0.0021,893.1,0.940,0.00e+00,2048,16,2048,0
vendor,cfloat,2048,16,512,C,vendor:auto,0.15705,0.15714,0.0017,908.4,0.956,0.00e+00,2048,16,2048,0
native:direct,cfloat,2048,16,512,C,native:direct,0.73116,0.73278,0.0048,195.1,0.205,0.00e+00,2048,16,2048,0
native:cta,cfloat,2048,16,512,C,native:cta,0.15716,0.15733,0.0048,907.8,0.956,0.00e+00,2048,16,2048,0
vendor,cdouble,2048,16,512,C,vendor:auto,0.31032,0.31023,0.0012,919.5,0.968,0.00e+00,2048,16,2048,0
native:direct,cdouble,2048,16,512,C,native:direct,1.35831,1.35915,0.0038,210.1,0.221,0.00e+00,2048,16,2048,0
native:cta,cdouble,2048,16,512,C,native:cta,0.33739,0.33734,0.0040,845.7,0.890,0.00e+00,2048,16,2048,0
vendor,float,64,64,512,N,vendor:auto,0.00905,0.00905,0.0089,956.2,1.007,0.00e+00,64,64,64,0
native:direct,float,64,64,512,N,native:direct,0.00756,0.00756,0.0084,1145.0,1.205,0.00e+00,64,64,64,0
vendor,double,64,64,512,N,vendor:auto,0.01265,0.01282,0.0330,1367.2,1.439,0.00e+00,64,64,64,0
native:direct,double,64,64,512,N,native:direct,0.01002,0.01002,0.0093,1726.9,1.818,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,N,vendor:auto,0.01080,0.01084,0.0122,1602.0,1.686,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,N,native:direct,0.00948,0.00950,0.0118,1825.2,1.921,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,N,vendor:auto,0.02454,0.02454,0.0085,1410.3,1.485,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,N,native:direct,0.01841,0.01839,0.0047,1879.7,1.979,0.00e+00,64,64,64,0
vendor,float,64,64,512,T,vendor:auto,0.01061,0.01066,0.0167,815.0,0.858,0.00e+00,64,64,64,0
native:direct,float,64,64,512,T,native:direct,0.01196,0.01195,0.0079,723.0,0.761,0.00e+00,64,64,64,0
native:cta,float,64,64,512,T,native:cta,0.00986,0.00987,0.0093,877.5,0.924,0.00e+00,64,64,64,0
vendor,double,64,64,512,T,vendor:auto,0.01328,0.01330,0.0123,1302.4,1.371,0.00e+00,64,64,64,0
native:direct,double,64,64,512,T,native:direct,0.01239,0.01240,0.0072,1397.0,1.470,0.00e+00,64,64,64,0
native:cta,double,64,64,512,T,native:cta,0.02177,0.02180,0.0089,794.8,0.837,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,T,vendor:auto,0.01195,0.01195,0.0096,1448.4,1.525,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,T,native:direct,0.01810,0.01812,0.0038,956.1,1.006,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,T,native:cta,0.01131,0.01156,0.0828,1529.6,1.610,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,T,vendor:auto,0.02418,0.02431,0.0114,1431.2,1.507,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,T,native:direct,0.02281,0.02302,0.0221,1517.1,1.597,0.00e+00,64,64,64,0
