arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,call
vendor,cdouble,2048,8,512,C,vendor:auto,0.16955,0.16988,0.0045,891.0,0.938,0.00e+00,2048,8,2048,call1
native:cta,cdouble,2048,8,512,C,native:cta,0.17214,0.17217,0.0028,877.6,0.924,0.00e+00,2048,8,2048,call1
vendor,cdouble,2048,16,512,N,vendor:auto,0.31799,0.31778,0.0014,897.3,0.945,0.00e+00,2048,2048,16,call2
native:direct,cdouble,2048,16,512,N,native:direct,0.31731,0.31755,0.0030,899.3,0.947,0.00e+00,2048,2048,16,call2
vendor,cdouble,2048,16,512,C,vendor:auto,0.30957,0.30968,0.0017,921.7,0.970,0.00e+00,2048,16,2048,call1
native:cta,cdouble,2048,16,512,C,native:cta,0.33655,0.33706,0.0057,847.8,0.892,0.00e+00,2048,16,2048,call1
vendor,cdouble,2048,32,512,N,vendor:auto,0.60583,0.60603,0.0007,914.3,0.962,0.00e+00,2048,2048,32,call2
native:direct,cdouble,2048,32,512,N,native:direct,0.60683,0.61140,0.0208,912.8,0.961,0.00e+00,2048,2048,32,call2
vendor,cdouble,2048,32,512,C,vendor:auto,0.62677,0.62683,0.0019,883.7,0.930,0.00e+00,2048,32,2048,call1
native:cta,cdouble,2048,32,512,C,native:cta,0.61193,0.61347,0.0107,905.2,0.953,0.00e+00,2048,32,2048,call1
vendor,cdouble,2048,64,512,N,vendor:auto,1.17850,1.17838,0.0005,925.8,0.975,0.00e+00,2048,2048,64,call2
native:direct,cdouble,2048,64,512,N,native:direct,1.17844,1.18018,0.0041,925.8,0.975,0.00e+00,2048,2048,64,call2
vendor,cdouble,2048,64,512,C,vendor:auto,1.31959,1.32076,0.0055,826.8,0.870,0.00e+00,2048,64,2048,call1
native:cta,cdouble,2048,64,512,C,native:cta,1.16665,1.16792,0.0034,935.2,0.984,0.00e+00,2048,64,2048,call1
