arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
vendor,cdouble,128,512,512,T,vendor:auto,1.51311,1.50797,0.0155,358.3,0.377,0.00e+00,128,512,0
native:cta,cdouble,128,512,512,T,native:cta,0.59002,0.58996,0.0007,918.8,0.967,0.00e+00,128,512,0
vendor,cdouble,192,128,128,T,vendor:auto,0.02948,0.02970,0.0374,1729.8,1.821,0.00e+00,192,48,0
native:cta,cdouble,192,128,128,T,native:cta,0.04657,0.04659,0.0022,1094.8,1.152,0.00e+00,192,48,0
vendor,cdouble,192,128,256,T,vendor:auto,0.12842,0.12861,0.0065,794.1,0.836,0.00e+00,192,96,0
native:cta,cdouble,192,128,256,T,native:cta,0.12072,0.12074,0.0053,844.7,0.889,0.00e+00,192,96,0
vendor,cdouble,192,128,512,T,vendor:auto,0.23245,0.23253,0.0013,877.4,0.924,0.00e+00,192,192,0
native:cta,cdouble,192,128,512,T,native:cta,0.22850,0.22881,0.0029,892.5,0.940,0.00e+00,192,192,0
vendor,cdouble,192,256,128,T,vendor:auto,0.12846,0.12841,0.0051,790.7,0.832,0.00e+00,192,96,0
native:cta,cdouble,192,256,128,T,native:cta,0.12040,0.12275,0.0557,843.7,0.888,0.00e+00,192,96,0
vendor,cdouble,192,256,256,T,vendor:auto,0.23921,0.23936,0.0034,849.3,0.894,0.00e+00,192,192,0
native:cta,cdouble,192,256,256,T,native:cta,0.22778,0.22776,0.0028,891.9,0.939,0.00e+00,192,192,0
vendor,cdouble,192,256,512,T,vendor:auto,1.20517,1.20463,0.0065,337.1,0.355,0.00e+00,192,384,0
native:cta,cdouble,192,256,512,T,native:cta,0.44386,0.44410,0.0014,915.4,0.964,0.00e+00,192,384,0
vendor,cdouble,192,512,128,T,vendor:auto,0.23842,0.23850,0.0030,850.5,0.895,0.00e+00,192,192,0
native:cta,cdouble,192,512,128,T,native:cta,0.22785,0.22803,0.0042,889.9,0.937,0.00e+00,192,192,0
vendor,cdouble,192,512,256,T,vendor:auto,0.45953,0.45973,0.0017,882.5,0.929,0.00e+00,192,384,0
native:cta,cdouble,192,512,256,T,native:cta,0.44291,0.44281,0.0009,915.6,0.964,0.00e+00,192,384,0
vendor,cdouble,192,512,512,T,vendor:auto,2.49863,2.50361,0.0087,324.6,0.342,0.00e+00,192,768,0
native:cta,cdouble,192,512,512,T,native:cta,0.87504,0.87506,0.0008,926.9,0.976,0.00e+00,192,768,0
vendor,cdouble,256,128,128,T,vendor:auto,0.03787,0.03756,0.0418,1792.8,1.887,0.00e+00,256,64,0
native:cta,cdouble,256,128,128,T,native:cta,0.05451,0.05450,0.0015,1245.6,1.311,0.00e+00,256,64,0
vendor,cdouble,256,128,256,T,vendor:auto,0.15785,0.15802,0.0054,860.3,0.906,0.00e+00,256,128,0
native:cta,cdouble,256,128,256,T,native:cta,0.15707,0.15718,0.0062,864.5,0.910,0.00e+00,256,128,0
vendor,cdouble,256,128,512,T,vendor:auto,0.30069,0.30076,0.0030,903.2,0.951,0.00e+00,256,256,0
native:cta,cdouble,256,128,512,T,native:cta,0.30070,0.30085,0.0029,903.2,0.951,0.00e+00,256,256,0
vendor,cdouble,256,256,128,T,vendor:auto,0.15764,0.15782,0.0061,858.1,0.903,0.00e+00,256,128,0
native:cta,cdouble,256,256,128,T,native:cta,0.15620,0.15635,0.0051,866.0,0.912,0.00e+00,256,128,0
vendor,cdouble,256,256,256,T,vendor:auto,0.30276,0.30245,0.0037,893.6,0.941,0.00e+00,256,256,0
native:cta,cdouble,256,256,256,T,native:cta,0.29990,0.30001,0.0041,902.1,0.950,0.00e+00,256,256,0
vendor,cdouble,256,256,512,T,vendor:auto,1.58371,1.58138,0.0089,341.6,0.360,0.00e+00,256,512,0
native:cta,cdouble,256,256,512,T,native:cta,0.58643,0.58666,0.0011,922.6,0.971,0.00e+00,256,512,0
vendor,cdouble,256,512,128,T,vendor:auto,0.30166,0.30154,0.0024,895.1,0.942,0.00e+00,256,256,0
native:cta,cdouble,256,512,128,T,native:cta,0.29879,0.29921,0.0041,903.7,0.951,0.00e+00,256,256,0
vendor,cdouble,256,512,256,T,vendor:auto,0.58979,0.58975,0.0017,915.6,0.964,0.00e+00,256,512,0
native:cta,cdouble,256,512,256,T,native:cta,0.58647,0.58676,0.0023,920.8,0.969,0.00e+00,256,512,0
vendor,cdouble,256,512,512,T,vendor:auto,3.33575,3.33591,0.0077,323.8,0.341,0.00e+00,256,1024,0
native:cta,cdouble,256,512,512,T,native:cta,1.15980,1.15986,0.0009,931.2,0.980,0.00e+00,256,1024,0
