routemode,mode,type,n,nb,W,batch,med_ms,min_ms,rel_sd,gflops,staged_ms,leaf_ms,panel_ms,trail_ms,residual,info_nonzero
default,blocked,cfloat,1024,64,128,128,14.780506,14.709862,0.0023,12398.22,14.974611,0.856861,1.978101,12.139470,4.425e-05,5
native,blocked,cfloat,1024,64,128,128,36.699429,36.624017,0.0036,4993.32,36.749953,0.892010,2.676912,33.180847,5.060e-07,6
vtrsm,blocked,cfloat,1024,64,128,128,38.870355,38.752258,0.0026,4714.44,39.080405,0.890113,5.983816,32.206302,5.060e-07,0
default,blocked,cfloat,1024,80,128,128,13.323251,13.298200,0.0013,13754.30,13.535414,0.902244,2.277453,10.355496,inf,64
native,blocked,cfloat,1024,80,128,128,38.089298,38.076190,0.0020,4811.11,38.402795,0.640836,3.551222,34.210566,inf,128
vtrsm,blocked,cfloat,1024,80,128,128,38.629500,38.571256,0.0039,4743.83,38.721778,0.930107,8.168713,29.622763,4.738e-07,0
default,blocked,cfloat,1024,96,128,128,11.987978,11.974792,0.0005,15286.31,12.142390,0.896665,2.206760,9.038779,6.543e+11,45
native,blocked,cfloat,1024,96,128,128,34.086755,33.989155,0.0021,5376.05,33.896149,0.929339,3.663108,29.303487,4.738e-07,6
vtrsm,blocked,cfloat,1024,96,128,128,38.734469,38.543371,0.0022,4730.98,38.660220,0.928610,9.448732,28.282634,4.738e-07,0
default,blocked,cfloat,1024,109,128,128,12.027513,12.001264,0.0011,15236.06,12.187492,0.990798,2.721632,8.474904,inf,88
native,blocked,cfloat,1024,109,128,128,37.868185,37.832735,0.0020,4839.21,37.722989,1.013052,5.041443,31.668304,inf,91
vtrsm,blocked,cfloat,1024,109,128,128,71.272231,70.821800,0.0035,2571.15,71.328266,1.014338,42.571583,27.742062,5.060e-07,0
default,blocked,cdouble,512,32,128,128,30.737157,30.723066,0.0002,745.24,31.028733,0.948747,2.267765,27.811985,7.511e-16,4
native,blocked,cdouble,512,32,128,128,81.304708,81.257735,0.0015,281.74,81.520436,0.937080,2.250937,78.332196,7.511e-16,5
vtrsm,blocked,cdouble,512,32,128,128,106.594440,106.591254,0.0001,214.89,106.859018,0.923488,27.547112,78.388202,7.511e-16,0
default,blocked,cdouble,512,48,128,128,29.808788,29.748024,0.0011,768.45,29.940243,0.979952,3.213473,25.746653,7.511e-16,3
native,blocked,cdouble,512,48,128,128,78.580295,78.576452,0.0001,291.50,78.855573,1.026520,5.445827,72.382867,7.511e-16,3
vtrsm,blocked,cdouble,512,48,128,128,105.802392,105.772868,0.0001,216.50,105.964845,0.977944,32.569266,72.417354,7.511e-16,0
default,blocked,cdouble,512,64,128,128,27.775882,27.725549,0.0008,824.69,27.874660,1.079886,3.695971,23.098578,7.511e-16,2
native,blocked,cdouble,512,64,128,128,76.240713,76.196860,0.0003,300.45,76.375784,1.091662,7.014338,68.269537,7.511e-16,5
vtrsm,blocked,cdouble,512,64,128,128,115.262898,115.257176,0.0000,198.73,115.393499,1.077093,46.022384,68.293793,7.511e-16,0
default,blocked,cdouble,512,77,128,128,30.158466,30.127679,0.0023,759.54,30.300156,1.225437,4.981724,24.092796,7.511e-16,4
native,blocked,cdouble,512,77,128,128,79.484184,79.454722,0.0002,288.19,79.615736,1.217105,10.439096,67.959374,7.511e-16,1
vtrsm,blocked,cdouble,512,77,128,128,105.935018,105.859873,0.0006,216.23,105.975841,1.216229,36.786709,67.972706,7.511e-16,0
default,blocked,cdouble,1024,32,128,128,205.228094,205.214116,0.0001,892.92,205.814028,1.892026,8.813955,195.107785,1.319e-15,31
native,blocked,cdouble,1024,32,128,128,576.014710,575.005625,0.0040,318.14,581.081440,1.882000,10.256568,568.942674,1.582e+33,24
vtrsm,blocked,cdouble,1024,32,128,128,623.231769,623.210002,0.0000,294.03,623.888266,1.886569,57.020761,564.980582,1.319e-15,0
default,blocked,cdouble,1024,48,128,128,201.905075,201.006288,0.0019,907.61,202.178999,2.004772,15.892180,184.281647,inf,64
native,blocked,cdouble,1024,48,128,128,748.534320,727.363722,0.0132,244.81,760.440335,2.033571,33.239275,725.166765,inf,71
vtrsm,blocked,cdouble,1024,48,128,128,616.763836,616.734932,0.0000,297.12,617.522077,2.170441,78.166170,537.184853,9.424e-16,0
default,blocked,cdouble,1024,64,128,128,189.873044,189.865852,0.0002,965.13,190.155187,2.181518,15.595113,172.378252,8.825e-16,25
native,blocked,cdouble,1024,64,128,128,550.205917,550.123969,0.0002,333.06,550.441812,2.201707,29.957069,518.282647,2.354e+08,21
vtrsm,blocked,cdouble,1024,64,128,128,618.983949,618.938996,0.0000,296.05,619.477051,2.250449,98.769222,518.456856,8.825e-16,0
default,blocked,cdouble,1024,77,128,128,202.661966,202.577605,0.0002,904.22,202.911816,2.515822,21.533213,178.862469,3.708e+265,67
native,blocked,cdouble,1024,77,128,128,579.021098,574.503707,0.0044,316.49,586.884521,2.527032,47.640910,536.716100,8.579e+56,70
vtrsm,blocked,cdouble,1024,77,128,128,634.004452,633.750689,0.0003,289.04,634.475616,2.621451,115.861240,515.992145,7.539e-16,0
native,blocked,float,1024,96,64,128,14.914345,14.906450,0.0003,3071.74,15.080635,0.694467,1.908666,12.477294,5.089e-07,12
default,blocked,float,1024,96,64,128,6.190429,6.186139,0.0015,7400.62,6.402693,0.715260,1.414127,4.273099,5.089e-07,11
native,blocked,float,1024,96,128,128,16.347295,16.342308,0.0002,2802.48,16.512753,0.705358,1.913456,13.893736,5.089e-07,10
default,blocked,float,1024,96,128,128,5.940543,5.933022,0.0008,7711.92,6.106183,0.674860,1.364067,4.067096,5.089e-07,5
native,blocked,float,1024,96,256,128,20.022479,20.018753,0.0002,2288.08,20.189059,0.706809,1.911790,17.570190,5.089e-07,16
default,blocked,float,1024,96,256,128,7.859311,7.850632,0.0005,5829.13,8.049251,0.701523,1.342129,6.005364,5.089e-07,6
native,blocked,float,1024,96,512,128,25.906633,25.898096,0.0002,1768.39,26.136885,0.737245,1.906228,23.493215,5.089e-07,14
default,blocked,float,1024,96,512,128,10.888882,10.885007,0.0003,4207.32,11.074927,0.705765,1.299457,9.069521,5.089e-07,4
native,blocked,double,1024,96,64,128,41.233519,41.221192,0.0022,1111.06,41.387231,1.584812,5.531412,34.270825,1.017e-15,1
default,blocked,double,1024,96,64,128,41.139049,41.132159,0.0001,1113.61,41.314828,1.585236,5.528723,34.200712,2.052e-04,0
native,blocked,double,1024,96,128,128,44.627845,44.599749,0.0005,1026.56,44.794189,1.607044,5.536598,37.650364,1.017e-15,1
default,blocked,double,1024,96,128,128,44.594592,44.580033,0.0002,1027.32,44.743917,1.589583,5.508089,37.646099,1.017e-15,0
native,blocked,double,1024,96,256,128,51.668140,51.654318,0.0003,886.68,51.836532,1.590666,5.523025,44.722638,1.017e-15,2
default,blocked,double,1024,96,256,128,51.731231,51.716945,0.0003,885.60,51.895393,1.591625,5.519151,44.784437,1.017e-15,5
native,blocked,double,1024,96,512,128,63.756004,63.723893,0.0004,718.57,63.909985,1.589562,5.522674,56.797549,1.017e-15,2
default,blocked,double,1024,96,512,128,63.706929,63.699741,0.0001,719.12,63.858811,1.588382,5.515193,56.755082,1.017e-15,3
native,blocked,cfloat,1024,96,64,128,31.098710,30.847077,0.0074,5892.59,31.334253,0.933781,3.678475,26.721808,4.738e-07,7
default,blocked,cfloat,1024,96,64,128,10.919260,10.871899,0.0025,16782.45,11.071908,0.907996,2.201146,7.962560,7.783e+16,25
native,blocked,cfloat,1024,96,128,128,34.102761,33.875822,0.0037,5373.52,34.120568,1.009546,3.704620,29.406105,4.738e-07,9
default,blocked,cfloat,1024,96,128,128,11.979170,11.967126,0.0005,15297.55,12.135445,0.897480,2.201494,9.036248,1.965e-04,26
native,blocked,cfloat,1024,96,256,128,40.388256,39.990452,0.0041,4537.26,40.032085,0.925946,3.621139,35.484832,4.738e-07,5
default,blocked,cfloat,1024,96,256,128,14.799804,14.792133,0.0005,12382.05,14.970674,0.911352,2.183230,11.875830,8.655e-05,30
native,blocked,cfloat,1024,96,512,128,50.658644,50.426344,0.0024,3617.39,50.427837,0.921148,3.597982,45.908534,4.738e-07,3
default,blocked,cfloat,1024,96,512,128,19.778102,19.756420,0.0006,9265.40,19.958877,0.905537,2.156023,16.897141,1.321e+35,23
native,blocked,cdouble,1024,64,64,128,507.687553,507.628038,0.0001,360.95,508.283383,2.349935,30.062976,475.869726,6.861e+09,24
default,blocked,cdouble,1024,64,64,128,173.877267,173.842093,0.0004,1053.92,174.130463,2.170862,15.601209,156.358229,3.829e+10,31
native,blocked,cdouble,1024,64,128,128,550.201940,550.194677,0.0001,333.06,550.667060,2.296454,29.989647,518.380215,8.825e-16,32
default,blocked,cdouble,1024,64,128,128,189.995364,189.846658,0.0004,964.51,190.248596,2.201487,15.659475,172.387284,1.887e-04,25
native,blocked,cdouble,1024,64,256,128,628.759347,628.661002,0.0001,291.45,629.114346,2.266275,29.957822,596.889510,6.219e+11,20
default,blocked,cdouble,1024,64,256,128,218.487367,218.453496,0.0002,838.73,218.991860,2.212015,15.850984,200.928538,8.249e-05,20
native,blocked,cdouble,1024,64,512,128,761.321956,761.255723,0.0001,240.70,762.046173,2.350637,29.969451,729.725146,8.825e-16,14
default,blocked,cdouble,1024,64,512,128,266.730449,266.694362,0.0001,687.03,266.993440,2.193037,15.564084,249.236007,8.825e-16,17
vendorpotrf rows follow (own columns)
vendorpotrf,float,512,128,0.901514,0.897997,0.0017,6352.23,4.369e-07,0
vendorpotrf,float,1024,128,7.302499,7.291845,0.0006,6273.60,5.462e-07,0
vendorpotrf,double,512,128,5.955198,5.935726,0.0015,961.62,8.137e-16,0
vendorpotrf,double,1024,128,40.133987,40.120197,0.0002,1141.50,1.017e-15,0
vendorpotrf,cfloat,512,128,1.559888,1.558327,0.0004,14684.70,6.048e-07,0
vendorpotrf,cfloat,1024,128,12.065582,12.057111,0.0005,15187.99,6.071e-07,0
vendorpotrf,cdouble,512,128,22.020645,22.016632,0.0001,1040.23,9.388e-16,0
vendorpotrf,cdouble,1024,128,154.667057,154.642936,0.0001,1184.82,1.131e-15,0
