arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
vendor,cdouble,4,1024,512,N,vendor:auto,0.04922,0.07164,0.7085,852.7,0.898,0.00e+00,4,4,1024,0
native:direct,cdouble,4,1024,512,N,native:direct,0.02011,0.02014,0.0066,2087.8,2.198,0.00e+00,4,4,1024,0
vendor,float,1024,4,512,T,vendor:auto,0.00957,0.00960,0.0143,1096.3,1.154,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,T,native:direct,0.03713,0.03714,0.0026,282.6,0.298,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,T,native:cta,0.00811,0.00812,0.0099,1293.3,1.361,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,T,vendor:auto,0.01279,0.01274,0.0123,1640.8,1.727,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,T,native:direct,0.05653,0.05654,0.0014,371.3,0.391,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,T,native:cta,0.01124,0.01122,0.0074,1867.1,1.965,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,T,vendor:auto,0.01172,0.01173,0.0162,1791.4,1.886,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,T,native:direct,0.07026,0.07029,0.0023,298.7,0.314,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,T,native:cta,0.01011,0.01011,0.0163,2075.7,2.185,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,T,vendor:auto,0.02252,0.02255,0.0054,1864.2,1.962,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,T,native:direct,0.12147,0.12146,0.0004,345.6,0.364,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,T,native:cta,0.02434,0.02436,0.0035,1724.8,1.816,0.00e+00,1024,4,1024,0
vendor,float,1024,4,512,C,vendor:auto,0.00925,0.00931,0.0233,1134.4,1.194,0.00e+00,1024,4,1024,0
native:direct,float,1024,4,512,C,native:direct,0.03710,0.03712,0.0021,282.9,0.298,0.00e+00,1024,4,1024,0
native:cta,float,1024,4,512,C,native:cta,0.00811,0.00812,0.0089,1294.6,1.363,0.00e+00,1024,4,1024,0
vendor,double,1024,4,512,C,vendor:auto,0.01282,0.01292,0.0172,1637.6,1.724,0.00e+00,1024,4,1024,0
native:direct,double,1024,4,512,C,native:direct,0.05673,0.05672,0.0013,370.0,0.389,0.00e+00,1024,4,1024,0
native:cta,double,1024,4,512,C,native:cta,0.01126,0.01126,0.0072,1863.8,1.962,0.00e+00,1024,4,1024,0
vendor,cfloat,1024,4,512,C,vendor:auto,0.02546,0.02562,0.0200,824.4,0.868,0.00e+00,1024,4,1024,0
native:direct,cfloat,1024,4,512,C,native:direct,0.07028,0.07026,0.0010,298.6,0.314,0.00e+00,1024,4,1024,0
native:cta,cfloat,1024,4,512,C,native:cta,0.01013,0.01014,0.0041,2071.0,2.180,0.00e+00,1024,4,1024,0
vendor,cdouble,1024,4,512,C,vendor:auto,0.02244,0.02248,0.0083,1870.6,1.969,0.00e+00,1024,4,1024,0
native:direct,cdouble,1024,4,512,C,native:direct,0.12158,0.12158,0.0009,345.3,0.363,0.00e+00,1024,4,1024,0
native:cta,cdouble,1024,4,512,C,native:cta,0.02437,0.02435,0.0041,1722.6,1.813,0.00e+00,1024,4,1024,0
vendor,float,16,512,512,N,vendor:auto,0.01125,0.01132,0.0177,1587.0,1.671,0.00e+00,16,16,512,0
native:direct,float,16,512,512,N,native:direct,0.01423,0.01423,0.0050,1254.6,1.321,0.00e+00,16,16,512,0
vendor,double,16,512,512,N,vendor:auto,0.01685,0.01690,0.0190,2119.5,2.231,0.00e+00,16,16,512,0
native:direct,double,16,512,512,N,native:direct,0.01906,0.01911,0.0059,1874.1,1.973,0.00e+00,16,16,512,0
vendor,cfloat,16,512,512,N,vendor:auto,0.01472,0.01464,0.0108,2426.6,2.554,0.00e+00,16,16,512,0
native:direct,cfloat,16,512,512,N,native:direct,0.01603,0.01605,0.0051,2228.7,2.346,0.00e+00,16,16,512,0
vendor,cdouble,16,512,512,N,vendor:auto,0.03438,0.03437,0.0040,2078.0,2.187,0.00e+00,16,16,512,0
native:direct,cdouble,16,512,512,N,native:direct,0.04923,0.04902,0.0081,1451.0,1.527,0.00e+00,16,16,512,0
vendor,float,512,16,512,T,vendor:auto,0.01103,0.01141,0.1185,1619.5,1.705,0.00e+00,512,16,512,0
native:direct,float,512,16,512,T,native:direct,0.02121,0.02122,0.0044,842.2,0.887,0.00e+00,512,16,512,0
native:cta,float,512,16,512,T,native:cta,0.00998,0.01001,0.0145,1789.4,1.884,0.00e+00,512,16,512,0
vendor,double,512,16,512,T,vendor:auto,0.01731,0.01744,0.0148,2063.0,2.172,0.00e+00,512,16,512,0
native:direct,double,512,16,512,T,native:direct,0.03104,0.03103,0.0032,1150.6,1.211,0.00e+00,512,16,512,0
native:cta,double,512,16,512,T,native:cta,0.01805,0.01808,0.0062,1979.1,2.083,0.00e+00,512,16,512,0
vendor,cfloat,512,16,512,T,vendor:auto,0.01427,0.01430,0.0101,2503.0,2.635,0.00e+00,512,16,512,0
native:direct,cfloat,512,16,512,T,native:direct,0.04341,0.04319,0.0965,822.8,0.866,0.00e+00,512,16,512,0
