type,side,n,q,batch,route,nb,ms,sd_pct
complex<float>,Left,256,4096,128,native,128,25.6597,0.08371064353831105
complex<float>,Left,256,256,128,native,256,1.86636,0.29879444480164596
complex<float>,Left,256,1024,128,native,256,6.66158,0.41762464760612344
complex<float>,Left,256,4096,128,native,256,25.4265,0.12130493776178396
complex<float>,Left,256,256,512,vendor,-,141.253,0.2576525808301417
complex<float>,Left,256,1024,512,vendor,-,563.983,0.24370592730631954
complex<float>,Left,256,256,512,native,32,7.22675,2.0927664579513614
complex<float>,Left,256,1024,512,native,32,25.5659,0.13361821801696794
complex<float>,Left,256,256,512,native,64,6.87615,4.062549537168328
complex<float>,Left,256,1024,512,native,64,25.8102,0.09491170157534619
complex<float>,Left,256,256,512,native,128,7.20972,2.319979139273092
complex<float>,Left,256,1024,512,native,128,25.8136,0.11736875135587442
complex<float>,Left,256,256,512,native,256,6.89661,4.076858050549473
complex<float>,Left,256,1024,512,native,256,25.5511,0.17169397795006866
complex<float>,Left,512,256,128,vendor,-,112.846,0.7546585612250324
complex<float>,Left,512,1024,128,vendor,-,574.998,0.10762646130943063
complex<float>,Left,512,4096,128,vendor,-,2322.32,0.03868863894725963
complex<float>,Left,512,256,128,native,32,6.06959,3.9977659117007907
complex<float>,Left,512,1024,128,native,32,23.105,0.05861501839428694
complex<float>,Left,512,4096,128,native,32,88.8273,0.05963797165961366
complex<float>,Left,512,256,128,native,64,6.38584,0.9103453891735465
complex<float>,Left,512,1024,128,native,64,22.8786,0.16537725210458684
complex<float>,Left,512,4096,128,native,64,89.4412,0.1280617880797664
complex<float>,Left,512,256,128,native,128,6.19061,3.8871290551335
complex<float>,Left,512,1024,128,native,128,22.9871,0.13132713565434526
complex<float>,Left,512,4096,128,native,128,89.5302,0.11287364487066935
complex<float>,Left,512,256,128,native,256,4.11672,0.20343817408033582
complex<float>,Left,512,1024,128,native,256,14.723,0.15150512803097194
complex<float>,Left,512,4096,128,native,256,57.3746,0.37961397552226944
complex<float>,Left,512,256,512,vendor,-,601.218,0.06076780801639339
complex<float>,Left,512,1024,512,vendor,-,2376.97,0.042958472340837286
complex<float>,Left,512,256,512,native,32,23.5979,2.226206569228618
complex<float>,Left,512,1024,512,native,32,89.1553,0.06495037311298374
complex<float>,Left,512,256,512,native,64,23.6876,3.711777470068728
complex<float>,Left,512,1024,512,native,64,89.9436,0.15291693905958845
complex<float>,Left,512,256,512,native,128,23.0756,0.1271321222416752
complex<float>,Left,512,1024,512,native,128,90.1443,0.10186545350066503
complex<float>,Left,512,256,512,native,256,15.2802,3.5613277313124176
complex<float>,Left,512,1024,512,native,256,57.808,0.4118772488236922
complex<float>,Right,64,256,128,vendor,-,0.337883,3.3223038744180675
complex<float>,Right,64,1024,128,vendor,-,0.510144,1.1003598983816334
complex<float>,Right,64,4096,128,vendor,-,2.39678,1.373204883218318
complex<float>,Right,64,256,128,native,32,0.0812957,2.547920738735259
complex<float>,Right,64,1024,128,native,32,0.293206,1.1735435154805836
complex<float>,Right,64,4096,128,native,32,1.3174,0.14310687718232884
complex<float>,Right,64,256,128,native,64,0.0812633,2.3947218486081665
complex<float>,Right,64,1024,128,native,64,0.295202,0.712789886247383
complex<float>,Right,64,4096,128,native,64,1.31784,0.15464244521337947
complex<float>,Right,64,256,128,native,128,0.0813463,2.333394389173202
complex<float>,Right,64,1024,128,native,128,0.299144,1.085493942716551
complex<float>,Right,64,4096,128,native,128,1.31925,0.1911298086033731
complex<float>,Right,64,256,128,native,256,0.0816023,2.7503881630787363
complex<float>,Right,64,1024,128,native,256,0.291859,0.16221394577518597
complex<float>,Right,64,4096,128,native,256,1.31907,1.1666932005124824
complex<float>,Right,64,256,512,vendor,-,0.526928,2.34161023897003
complex<float>,Right,64,1024,512,vendor,-,2.55456,0.7660693035199799
complex<float>,Right,64,4096,512,vendor,-,8.3527,1.5333604702670993
complex<float>,Right,64,256,512,native,32,0.300747,2.9205611361044332
complex<float>,Right,64,1024,512,native,32,1.31579,0.8133440746623701
complex<float>,Right,64,4096,512,native,32,5.12284,0.028111945717609763
complex<float>,Right,64,256,512,native,64,0.304345,3.2743761192068215
complex<float>,Right,64,1024,512,native,64,1.3232,1.6020329504232167
complex<float>,Right,64,4096,512,native,64,5.12388,0.04886004356073913
complex<float>,Right,64,256,512,native,128,0.302722,3.3138985603953466
complex<float>,Right,64,1024,512,native,128,1.31379,0.665909315796284
complex<float>,Right,64,4096,512,native,128,5.12418,0.07048503370295345
complex<float>,Right,64,256,512,native,256,0.296934,0.6178106919382759
complex<float>,Right,64,1024,512,native,256,1.31444,0.10866756945923739
complex<float>,Right,64,4096,512,native,256,5.12264,0.03426982961910265
complex<float>,Right,128,256,128,vendor,-,1.66322,0.25391349310373856
complex<float>,Right,128,1024,128,vendor,-,5.66814,0.8958529605831895
complex<float>,Right,128,4096,128,vendor,-,27.5442,0.5744548761626768
complex<float>,Right,128,256,128,native,32,0.306523,3.821116196826992
complex<float>,Right,128,1024,128,native,32,1.14215,0.6487650483736812
