type,side,route,n,q,batch,ms,sd_pct
float,Right,native,16,4096,128,0.0289902,1.646459838152203
float,Right,native,16,256,512,0.0144667,2.768419888433437
float,Right,native,16,1024,512,0.0287618,1.8431461174196329
float,Right,native,16,4096,512,0.301923,0.6362185060429315
float,Right,native,32,256,128,0.0175959,3.7288288749083587
float,Right,native,32,1024,128,0.0278601,1.8777068280444078
float,Right,native,32,4096,128,0.168539,1.2786654720865793
float,Right,native,32,256,512,0.028439,3.083473399205317
float,Right,native,32,1024,512,0.166483,0.9417958590366584
float,Right,native,32,4096,512,0.666099,0.20228374460853416
float,Right,native,64,256,128,0.0501447,2.7054105418917653
float,Right,native,64,1024,128,0.127826,1.5099744965812902
float,Right,native,64,4096,128,0.710005,0.37359032682868426
float,Right,native,64,256,512,0.135257,3.5575312183472945
float,Right,native,64,1024,512,0.713628,0.4082981609465996
float,Right,native,64,4096,512,2.82937,0.12130544962306097
float,Right,native,64,256,2048,0.736882,0.8742064536791507
float,Right,native,64,1024,2048,2.82784,0.12478075138621703
float,Right,native,64,4096,2048,11.1993,0.07815488468029252
float,Right,native,128,256,512,0.558543,2.295776690424909
float,Right,native,128,1024,512,2.46113,0.13575390166305723
float,Right,native,128,4096,512,9.93394,0.0939662409879665
float,Right,native,128,256,2048,2.57264,2.3270959014864108
float,Right,native,128,1024,2048,9.87396,0.19005545900530282
float,Right,native,256,256,128,0.351505,3.5245302342783176
float,Right,native,256,1024,128,1.27792,0.1903022098409916
float,Right,native,256,4096,128,5.42045,0.08898965953011281
float,Right,native,256,256,512,1.40632,0.2310953410319131
float,Right,native,256,1024,512,5.48304,0.07728522863229158
float,Right,native,256,4096,512,21.4299,0.0631188199664954
float,Right,native,256,256,2048,5.87537,1.2602593538789897
float,Right,native,256,1024,2048,21.6651,0.06075854715648671
float,Right,native,512,256,128,0.915641,2.3533568287134368
float,Right,native,512,1024,128,3.74647,0.16066403841482782
float,Right,native,512,4096,128,14.8894,0.04285377516891211
float,Right,native,512,256,512,4.04466,1.3716480495270307
float,Right,native,512,1024,512,15.1706,0.031651549707987815
float,Right,native,512,256,2048,16.1054,0.06076508500254573
complex<float>,Left,vendor,8,256,128,0.0188933,4.415956979458327
complex<float>,Left,vendor,8,1024,128,0.0398717,1.5237047830917665
complex<float>,Left,vendor,8,4096,128,0.137193,1.4018280816076623
complex<float>,Left,vendor,8,256,512,0.0393258,3.1496625624907817
complex<float>,Left,vendor,8,1024,512,0.139392,0.23385129706152435
complex<float>,Left,vendor,8,4096,512,0.526004,0.4337894768861073
complex<float>,Left,vendor,8,256,2048,0.146927,3.2338235994745688
complex<float>,Left,vendor,8,1024,2048,0.531959,0.2935470590778613
complex<float>,Left,vendor,8,4096,2048,1.98877,0.09541425101947434
complex<float>,Left,vendor,16,256,128,0.0745503,2.249380619528023
complex<float>,Left,vendor,16,1024,128,0.180962,1.437539372907019
complex<float>,Left,vendor,16,4096,128,0.808851,0.37303656668533514
complex<float>,Left,vendor,16,256,512,0.187921,3.813400311833164
complex<float>,Left,vendor,16,1024,512,0.809548,0.28828556181968207
complex<float>,Left,vendor,16,4096,512,3.06658,0.283941067899745
complex<float>,Left,vendor,16,256,2048,0.830772,2.1089059332765188
complex<float>,Left,vendor,16,1024,2048,3.05092,0.44951031164370087
complex<float>,Left,vendor,16,4096,2048,11.9557,0.2774877255200448
complex<float>,Left,vendor,32,256,128,0.248063,3.8208076174197685
complex<float>,Left,vendor,32,1024,128,0.655038,0.18965311936101417
complex<float>,Left,vendor,32,4096,128,3.22822,0.6886612436574955
complex<float>,Left,vendor,32,256,512,0.675259,2.9503049940837514
complex<float>,Left,vendor,32,1024,512,3.18575,0.7193282586518088
complex<float>,Left,vendor,32,4096,512,13.0238,1.1000629616548168
complex<float>,Left,vendor,32,256,2048,3.34407,3.8450152060214053
complex<float>,Left,vendor,32,1024,2048,12.8233,0.24207263340949678
complex<float>,Left,vendor,32,4096,2048,52.6395,0.3032817560957076
complex<float>,Left,vendor,64,256,128,0.91529,2.0404461973800654
complex<float>,Left,vendor,64,1024,128,2.7731,1.91479571598572
complex<float>,Left,vendor,64,4096,128,12.4916,0.37143200230554935
complex<float>,Left,vendor,64,256,512,2.9774,2.1445220662322835
complex<float>,Left,vendor,64,1024,512,12.2557,0.37176415871798435
complex<float>,Left,vendor,64,4096,512,50.1801,0.36605546820353085
complex<float>,Left,vendor,64,256,2048,13.1607,3.0449140243300126
complex<float>,Left,vendor,64,1024,2048,50.4471,1.3224328058500883
complex<float>,Left,vendor,128,256,128,3.68717,4.570687003853904
complex<float>,Left,vendor,128,1024,128,25.5062,0.4551912868243799
complex<float>,Left,vendor,128,4096,128,113.091,0.46685324207938744
complex<float>,Left,vendor,128,256,512,27.5789,0.48619052971655874
complex<float>,Left,vendor,128,1024,512,115.747,0.36196532091544487
complex<float>,Left,vendor,128,4096,512,490.833,0.29543857075624497
complex<float>,Left,vendor,128,256,2048,123.773,0.5059310188813393
complex<float>,Left,vendor,128,1024,2048,499.259,0.23071592099491445
complex<float>,Left,vendor,256,256,128,15.1062,1.0062821887701738
complex<float>,Left,vendor,256,1024,128,132.411,0.2997031968643089
complex<float>,Left,vendor,256,4096,128,547.686,0.21428519261036433
complex<float>,Left,vendor,256,256,512,139.498,0.2545613557183615
complex<float>,Left,vendor,256,1024,512,563.356,0.16466337449144058
complex<float>,Left,vendor,256,256,2048,597.095,0.2823001364941927
complex<float>,Left,vendor,512,256,128,112.88,0.47876417434443663
complex<float>,Left,vendor,512,1024,128,574.589,0.06180313232588859
complex<float>,Left,vendor,512,4096,128,2323.1,0.04630192415307133
complex<float>,Left,vendor,512,256,512,600.968,0.059385691085049465
complex<float>,Left,vendor,512,1024,512,2377.83,0.07283489568219763
complex<float>,Left,native,8,256,128,0.0150476,2.980109784949095
complex<float>,Left,native,8,1024,128,0.036327,1.2613455556473148
complex<float>,Left,native,8,4096,128,0.10268,0.41771425788858596
complex<float>,Left,native,8,256,512,0.0371705,2.950188993960264
complex<float>,Left,native,8,1024,512,0.103891,2.2265451290294638
complex<float>,Left,native,8,4096,512,0.38003,0.1501720916769729
complex<float>,Left,native,8,256,2048,0.112976,2.859085115422745
complex<float>,Left,native,8,1024,2048,0.379393,0.6033453437464582
complex<float>,Left,native,8,4096,2048,1.44001,0.2204838855285727
complex<float>,Left,native,16,256,128,0.0409902,3.404374704197589
complex<float>,Left,native,16,1024,128,0.128939,1.2108749098410876
complex<float>,Left,native,16,4096,128,0.476734,0.4586457017959701
complex<float>,Left,native,16,256,512,0.147772,13.364642828140651
complex<float>,Left,native,16,1024,512,0.641006,54.849408585879075
complex<float>,Left,native,16,4096,512,2.12947,21.395370679089165
complex<float>,Left,native,16,256,2048,2.05125,159.6563071297989
complex<float>,Left,native,16,1024,2048,4.86414,74.624702413993
complex<float>,Left,native,16,4096,2048,10.5418,16.450890739721867
complex<float>,Left,native,32,256,128,0.287917,46.219222901044404
complex<float>,Left,native,32,1024,128,0.336618,72.60811958956444
complex<float>,Left,native,32,4096,128,1.44568,99.25433014221682
complex<float>,Left,native,32,256,512,0.261229,14.131356013306334
complex<float>,Left,native,32,1024,512,1.29256,60.5725846382373
complex<float>,Left,native,32,4096,512,4.07569,26.350875557267603
complex<float>,Left,native,32,256,2048,3.05389,117.3228243322451
complex<float>,Left,native,32,1024,2048,10.9078,8.153954051229395
complex<float>,Left,native,32,4096,2048,21.7163,17.38873565017982
complex<float>,Left,native,64,256,128,0.213022,13.008468608876079
complex<float>,Left,native,64,1024,128,0.760194,44.19148270046856
complex<float>,Left,native,64,4096,128,10.6963,19.486644914596635
complex<float>,Left,native,64,256,512,0.704801,1.796010505092927
complex<float>,Left,native,64,1024,512,2.68695,0.44394573773237317
complex<float>,Left,native,64,4096,512,10.4791,0.2557872336364764
complex<float>,Left,native,64,256,2048,2.73065,3.794078332997638
complex<float>,Left,native,64,1024,2048,10.4581,0.20085579598588651
complex<float>,Left,native,128,256,128,0.54869,2.7167070659206476
complex<float>,Left,native,128,1024,128,2.06885,0.38169949488846466
complex<float>,Left,native,128,4096,128,7.83416,0.21622611741399206
complex<float>,Left,native,128,256,512,2.14446,3.9061115618850435
complex<float>,Left,native,128,1024,512,7.83598,0.17202698322354065
complex<float>,Left,native,128,4096,512,30.4784,0.22002401700876686
complex<float>,Left,native,128,256,2048,8.10907,4.199741770634611
complex<float>,Left,native,128,1024,2048,30.5115,0.08638415023843468
complex<float>,Left,native,256,256,128,1.80475,4.322559911345061
complex<float>,Left,native,256,1024,128,6.67734,0.30164556544971505
complex<float>,Left,native,256,4096,128,25.405,0.05333674473528833
complex<float>,Left,native,256,256,512,7.01385,4.043171724516492
complex<float>,Left,native,256,1024,512,25.5847,0.0802166920073325
complex<float>,Left,native,256,256,2048,25.6721,1.0681673879425524
complex<float>,Left,native,512,256,128,6.26469,0.8040796910940525
complex<float>,Left,native,512,1024,128,23.0331,0.09319023492278504
complex<float>,Left,native,512,4096,128,88.7046,0.19041740789090986
complex<float>,Left,native,512,256,512,23.1042,0.1099354229966846
complex<float>,Left,native,512,1024,512,88.9099,0.13616818824450372
complex<float>,Right,vendor,8,256,128,0.0133246,3.2025576752773066
complex<float>,Right,vendor,8,1024,128,0.0159153,0.5010204017517734
complex<float>,Right,vendor,8,4096,128,0.0371845,0.8197152039156099
complex<float>,Right,vendor,8,256,512,0.0158806,4.36111355994106
complex<float>,Right,vendor,8,1024,512,0.0371013,1.885917744122174
complex<float>,Right,vendor,8,4096,512,0.307946,0.3652133815668981
complex<float>,Right,vendor,8,256,2048,0.0368906,3.610296389866253
complex<float>,Right,vendor,8,1024,2048,0.308189,0.10833514499219635
complex<float>,Right,vendor,8,4096,2048,1.19153,0.7552634008375786
complex<float>,Right,vendor,16,256,128,0.0254216,3.177065959656355
complex<float>,Right,vendor,16,1024,128,0.0341858,0.5727758309005494
complex<float>,Right,vendor,16,4096,128,0.16068,0.21862086133930794
complex<float>,Right,vendor,16,256,512,0.0340588,2.7209473028996913
complex<float>,Right,vendor,16,1024,512,0.160258,0.18435647518376613
complex<float>,Right,vendor,16,4096,512,0.626555,0.09337727733399302
complex<float>,Right,vendor,16,256,2048,0.16697,1.6229921542792116
complex<float>,Right,vendor,16,1024,2048,0.624113,0.2965120098443711
complex<float>,Right,vendor,16,4096,2048,2.41365,0.12912974126323204
complex<float>,Right,vendor,32,256,128,0.0838028,1.9454003923496588
complex<float>,Right,vendor,32,1024,128,0.118939,0.997814005498617
complex<float>,Right,vendor,32,4096,128,0.522497,0.4018434555605104
complex<float>,Right,vendor,32,256,512,0.129358,3.3885341455495603
complex<float>,Right,vendor,32,1024,512,0.532531,0.15764734822949275
complex<float>,Right,vendor,32,4096,512,1.86948,0.40514260650020323
complex<float>,Right,vendor,32,256,2048,0.547833,1.9352978006071195
complex<float>,Right,vendor,32,1024,2048,1.87843,0.3992041225917388
complex<float>,Right,vendor,32,4096,2048,6.93876,0.5648747038375733
complex<float>,Right,vendor,64,256,128,0.340869,3.996814025329379
complex<float>,Right,vendor,64,1024,128,0.506607,1.2742678249609658
complex<float>,Right,vendor,64,4096,128,2.37098,1.2544686163527319
complex<float>,Right,vendor,64,256,512,0.524468,2.4218827459444614
complex<float>,Right,vendor,64,1024,512,2.57941,0.9982437844313233
complex<float>,Right,vendor,64,4096,512,8.43932,1.4050776602854258
complex<float>,Right,vendor,64,256,2048,3.202,2.514550281074329
complex<float>,Right,vendor,64,1024,2048,8.8968,1.1499640320115097
complex<float>,Right,vendor,128,256,128,1.57988,3.6029318682431577
complex<float>,Right,vendor,128,1024,128,5.69301,0.8527123612992072
complex<float>,Right,vendor,128,4096,128,27.5114,0.8711188816272528
complex<float>,Right,vendor,128,256,512,6.53554,0.3022290430477053
complex<float>,Right,vendor,128,1024,512,28.0096,0.5522035302182109
complex<float>,Right,vendor,128,4096,512,107.145,0.5822371552568949
complex<float>,Right,vendor,128,256,2048,30.4163,0.23780275707433185
complex<float>,Right,vendor,128,1024,2048,108.672,0.7359016121908126
