# ORDER axis, batch FIXED at 32
op,type,n,nrhs,batch,vendor_ms,native_ms,speedup,vendor_GFLOPs,native_GFLOPs,vendor_route,native_route,vendor_resid,native_resid,vendor_ws,native_ws
getri,double,2048,1,32,1753.3457,411.9945,4.256,209.0,889.6,vendor:auto|vendor:auto,native:blocked|native:blocked,6.11e-15,5.77e-15,512,0
getri,float,32,1,32,0.0369,0.0463,0.797,37.9,30.2,vendor:auto|vendor:auto,native:cta|native:blocked,2.41e-07,2.48e-07,512,0
getri,float,64,1,32,0.0900,0.0900,1.000,124.3,124.2,vendor:auto|vendor:auto,native:cta|native:blocked,3.97e-07,3.24e-07,512,0
getri,float,128,1,32,0.4012,0.1930,2.079,223.0,463.7,vendor:auto|vendor:auto,native:cta|native:blocked,3.63e-07,5.32e-07,512,0
getri,float,256,1,32,2.4258,0.4353,5.573,295.1,1644.5,vendor:auto|vendor:auto,native:blocked|native:blocked,3.80e-07,3.87e-07,512,0
getri,float,512,1,32,17.0718,1.1307,15.098,335.4,5064.9,vendor:auto|vendor:auto,native:blocked|native:blocked,6.26e-07,3.92e-07,512,0
getri,float,1024,1,32,173.6488,5.7513,30.193,263.8,7965.7,vendor:auto|vendor:auto,native:blocked|native:blocked,8.88e-07,6.04e-07,512,0
getri,float,2048,1,32,1472.1818,43.5802,33.781,248.9,8409.9,vendor:auto|vendor:auto,native:blocked|native:blocked,9.36e-07,8.95e-07,512,0

GEOMEAN getrf: 1.438x over 28 cells, 15 wins, worst 0.363x, best 7.338x
GEOMEAN getri: 3.571x over 28 cells, 22 wins, worst 0.745x, best 33.781x

DISCARDED: none
