# level3_vendor_available=0 factorization_vendor_available=0
op,type,N,nb,j0,batch,m,n,k,vendor,route,variant
G,cfloat,128,32,64,4096,32,32,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,128,32,64,4096,32,32,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,128,32,64,4096,32,32,32,vendor_present,Native:CTA,-
T,cfloat,128,32,64,4096,32,32,32,vendor_free,Native:CTA,-
SOLVE_L,cfloat,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,128,-,-,4096,128,1,128,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,128,-,-,4096,128,1,128,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,128,-,-,4096,128,128,128,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,128,-,-,4096,128,128,128,vendor_free,Native:Blocked,-
G,cfloat,256,32,0,2048,224,224,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,256,32,0,2048,224,224,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,256,32,0,2048,32,224,32,vendor_present,Native:CTA,-
T,cfloat,256,32,0,2048,32,224,32,vendor_free,Native:CTA,-
G,cfloat,256,32,128,2048,96,96,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,256,32,128,2048,96,96,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,256,32,128,2048,32,96,32,vendor_present,Native:CTA,-
T,cfloat,256,32,128,2048,32,96,32,vendor_free,Native:CTA,-
G,cfloat,256,32,192,2048,32,32,32,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,256,32,192,2048,32,32,32,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,256,32,192,2048,32,32,32,vendor_present,Native:CTA,-
T,cfloat,256,32,192,2048,32,32,32,vendor_free,Native:CTA,-
SOLVE_L,cfloat,256,-,-,2048,256,1,256,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,256,-,-,2048,256,1,256,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,256,-,-,2048,256,1,256,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,256,-,-,2048,256,1,256,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,256,-,-,2048,256,256,256,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,256,-,-,2048,256,256,256,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,256,-,-,2048,256,256,256,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,256,-,-,2048,256,256,256,vendor_free,Native:Blocked,-
G,cfloat,512,64,0,512,448,448,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,512,64,0,512,448,448,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,512,64,0,512,64,448,64,vendor_present,Native:Blocked,-
T,cfloat,512,64,0,512,64,448,64,vendor_free,Native:Blocked,-
G,cfloat,512,64,256,512,192,192,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,512,64,256,512,192,192,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,512,64,256,512,64,192,64,vendor_present,Native:Blocked,-
T,cfloat,512,64,256,512,64,192,64,vendor_free,Native:Blocked,-
G,cfloat,512,64,384,512,64,64,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,512,64,384,512,64,64,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,512,64,384,512,64,64,64,vendor_present,Native:Blocked,-
T,cfloat,512,64,384,512,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,512,-,-,512,512,1,512,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,512,-,-,512,512,1,512,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,512,-,-,512,512,1,512,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,512,-,-,512,512,1,512,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,512,-,-,512,512,512,512,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,512,-,-,512,512,512,512,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,512,-,-,512,512,512,512,vendor_free,Native:Blocked,-
SOLVE_U,cfloat,512,-,-,512,512,512,512,vendor_free,Native:Blocked,-
G,cfloat,1024,64,0,128,960,960,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,1024,64,0,128,960,960,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,1024,64,0,128,64,960,64,vendor_present,Native:Blocked,-
T,cfloat,1024,64,0,128,64,960,64,vendor_free,Native:Blocked,-
G,cfloat,1024,64,512,128,448,448,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,1024,64,512,128,448,448,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,1024,64,512,128,64,448,64,vendor_present,Native:Blocked,-
T,cfloat,1024,64,512,128,64,448,64,vendor_free,Native:Blocked,-
G,cfloat,1024,64,896,128,64,64,64,vendor_present,Vendor:Auto,Tiled64x64RegisterK16Wide
G,cfloat,1024,64,896,128,64,64,64,vendor_free,Native:RegisterTiled,Tiled64x64RegisterK16Wide
T,cfloat,1024,64,896,128,64,64,64,vendor_present,Native:Blocked,-
T,cfloat,1024,64,896,128,64,64,64,vendor_free,Native:Blocked,-
SOLVE_L,cfloat,1024,-,-,128,1024,1,1024,vendor_present,Native:Blocked,-
SOLVE_U,cfloat,1024,-,-,128,1024,1,1024,vendor_present,Native:Blocked,-
SOLVE_L,cfloat,1024,-,-,128,1024,1,1024,vendor_free,Native:Blocked,-
