section,variant,type,n,batch,wg,ld,slm_bytes,med_ms,mean_ms,relsd,GFLOPs,resid,ntpiv,flag
n,nopiv,float,24,4096,256,25,2412,0.0674,0.0674,0.0033,560.42,8.874e-04,0,ok
n,swaponly,float,24,4096,256,25,2412,0.0791,0.0792,0.0026,476.97,6.418e-04,20,ok
n,pivman,float,24,4096,256,25,4452,0.1633,0.1633,0.0021,231.14,1.406e-07,19,ok
n,pivgrp,float,24,4096,256,25,2412,0.2053,0.2053,0.0010,183.83,1.406e-07,19,ok
n,nopiv,float,32,4096,256,33,4236,0.1072,0.1169,0.2034,834.64,3.835e-04,0,ok
n,swaponly,float,32,4096,256,33,4236,0.1223,0.1226,0.0056,731.37,1.039e-03,30,ok
n,pivman,float,32,4096,256,33,6276,0.2310,0.2310,0.0047,387.38,3.276e-07,28,ok
n,pivgrp,float,32,4096,256,33,4236,0.2900,0.2900,0.0027,308.57,3.276e-07,28,ok
n,nopiv,float,48,4096,256,49,9420,0.2539,0.2623,0.0785,1189.27,6.538e-04,0,ok
n,swaponly,float,48,4096,256,49,9420,0.2733,0.2808,0.0751,1105.10,2.148e-04,44,ok
n,pivman,float,48,4096,256,49,11460,0.4244,0.4332,0.0492,711.64,3.438e-07,44,ok
n,pivgrp,float,48,4096,256,49,9420,0.5248,0.5256,0.0027,575.43,3.438e-07,44,ok
n,nopiv,float,64,4096,256,65,16652,0.4839,0.4934,0.0484,1479.22,1.511e-03,0,ok
n,swaponly,float,64,4096,256,65,16652,0.5206,0.5399,0.0588,1375.02,3.914e-03,59,ok
n,pivman,float,64,4096,256,65,18692,0.7352,0.7455,0.0338,973.68,4.608e-07,60,ok
n,pivgrp,float,64,4096,256,65,16652,0.8329,0.8423,0.0288,859.44,4.608e-07,60,ok
n,nopiv,float,96,4096,256,97,37260,1.9153,1.8908,0.0162,1261.37,4.251e-03,0,ok
n,swaponly,float,96,4096,256,97,37260,2.0142,1.9878,0.0165,1199.45,1.452e-03,89,ok
n,pivman,float,96,4096,256,97,39300,2.7860,2.7838,0.0282,867.15,4.099e-07,92,ok
n,pivgrp,float,96,4096,256,97,37260,2.7516,2.7491,0.0279,878.01,4.099e-07,92,ok
n,nopiv,float,128,4096,256,129,66060,6.5424,6.6242,0.0219,875.31,1.977e-02,0,ok
